Node,Degree Centrality,PageRank,Betweenness Centrality
20544_43691724,0.010152,0.000633,0.000127
22417_4a15d62e,0.010152,0.000633,0.000125
21989_a0b5037d,0.010152,0.000633,9.4e-05
22027_11a2e852,0.010152,0.000633,0.000118
21184_971559b6,0.010152,0.000633,0.000108
20547_ec8cfd0d,0.010152,0.000633,0.000108
20479_77930584,0.010152,0.000633,9.1e-05
23409_e27e3b8b,0.010152,0.000633,6.4e-05
20741_c337946f,0.010152,0.000633,0.000108
20237_06b27bf5,0.010152,0.000633,0.000158
20431_0088a0dd,0.010152,0.000633,7.6e-05
20672_0bc07cce,0.010152,0.000633,9.1e-05
22075_12b129d5,0.010152,0.000633,0.000108
21616_c6c3347a,0.010152,0.000633,9.1e-05
22576_d05619d1,0.010152,0.000633,0.000117
20946_6573271d,0.010152,0.000633,0.000111
22483_f4e4b62a,0.010152,0.000633,9e-05
20467_f1fcc009,0.010152,0.000633,0.000108
20279_aed6b3b3,0.010152,0.000633,0.000117
22058_71feafda,0.010152,0.000633,0.000108
23413_6702ec7f,0.010152,0.000633,7.6e-05
21093_1bda9bbe,0.010152,0.000633,0.000127
21685_93737a7a,0.010152,0.000633,0.0001
23354_8182b4eb,0.010152,0.000633,0.000122
23127_38d73061,0.010152,0.000633,0.000161
20989_a261efa3,0.010152,0.000633,0.000111
22762_dcbdd14d,0.010152,0.000633,0.00016
21722_68aeba65,0.010152,0.000633,8.1e-05
22133_465d7a91,0.010152,0.000633,9.1e-05
21592_c5e77a82,0.010152,0.000633,9.4e-05
21511_d07c59c2,0.010152,0.000633,0.000125
21994_357aac6f,0.010152,0.000633,9.1e-05
20671_33532794,0.010152,0.000633,0.000133
20697_d3e106b4,0.010152,0.000633,0.000125
20241_ccb70dc8,0.010152,0.000633,9.1e-05
21557_53eafe15,0.010152,0.000633,9e-05
7778_3a9748b3,0.010152,0.000633,9e-05
20488_589ac9c0,0.010152,0.000633,0.00014
23374_57cca189,0.010152,0.000633,0.000107
22129_48b47c52,0.010152,0.000633,0.000111
20176_a02bde39,0.010152,0.000633,0.000128
19596_fb9531a5,0.010152,0.000633,0.000104
20438_5f344b00,0.010152,0.000633,0.000107
23419_ea47995f,0.010152,0.000633,0.000106
22035_101c7ab4,0.010152,0.000633,7.6e-05
22893_eb8aa8ac,0.010152,0.000633,0.000125
21840_6847d36c,0.010152,0.000633,0.000158
22066_308cdcfe,0.010152,0.000633,6.3e-05
21384_b9774b93,0.010152,0.000633,0.000104
21785_d595ced5,0.010152,0.000633,0.00015
21175_85118898,0.010152,0.000633,9.7e-05
20163_3742f394,0.010152,0.000633,6.3e-05
22002_315afcfc,0.010152,0.000633,6.3e-05
22162_439af02a,0.010152,0.000633,9.7e-05
21656_964b0c84,0.010152,0.000633,0.000127
23369_447545f6,0.010152,0.000633,0.000108
20141_b9376856,0.010152,0.000633,6.3e-05
23103_43bde2a6,0.010152,0.000633,0.000111
20239_49b65a55,0.010152,0.000633,9.7e-05
23034_b38134ee,0.010152,0.000633,8.7e-05
21424_9d516e3a,0.010152,0.000633,6.3e-05
21551_c6c2d516,0.010152,0.000633,0.000158
20940_9777847c,0.010152,0.000633,0.000138
23451_14c8d09e,0.010152,0.000633,9.4e-05
21037_62248d34,0.010152,0.000633,0.00016
21817_945cd3c9,0.010152,0.000633,9.4e-05
23283_fadf3820,0.010152,0.000633,9.4e-05
23323_075a079e,0.010152,0.000633,8.7e-05
23172_4ab01e83,0.010152,0.000633,9.7e-05
21612_e2981dae,0.010152,0.000633,9.1e-05
21991_ab98f156,0.010152,0.000633,0.000149
23363_60e39812,0.010152,0.000633,9.4e-05
21539_cfe1f7fd,0.010152,0.000633,9.4e-05
21697_06656699,0.010152,0.000633,0.000104
20412_42170125,0.010152,0.000633,0.000108
21845_dff8b3a1,0.010152,0.000633,0.000125
23083_fdb942ac,0.010152,0.000633,0.000125
22050_e8702dd4,0.010152,0.000633,0.000145
21495_ebbbd369,0.010152,0.000633,0.000108
22140_9cda24cc,0.010152,0.000633,0.000111
23035_6087bb57,0.010152,0.000633,6.3e-05
21836_5bc91e49,0.010152,0.000633,0.000158
21626_b34008e6,0.010152,0.000633,6.3e-05
21797_69df08d5,0.010152,0.000633,0.000164
21862_ec534e16,0.010152,0.000633,0.000111
21451_fea6f0d1,0.010152,0.000633,0.000108
20431_27e7f151,0.010152,0.000633,0.000121
23493_57512264,0.010152,0.000633,9.7e-05
23170_6ea8ded5,0.010152,0.000633,0.000158
22747_3f6faf4c,0.010152,0.000633,9.1e-05
20925_dc64a33a,0.010152,0.000633,9.7e-05
21603_98a15295,0.010152,0.000633,0.000147
23417_9a9e9937,0.010152,0.000633,6.3e-05
21762_90d34d16,0.010152,0.000633,0.000158
22612_28fe0ac2,0.010152,0.000633,6.3e-05
22535_0ba01cc9,0.010152,0.000633,9e-05
22047_5a090f16,0.010152,0.000633,0.000107
22227_aca28ff2,0.010152,0.000633,9.1e-05
22902_83870421,0.010152,0.000633,0.000108
21665_2e14b6ff,0.010152,0.000633,0.000104
20813_726b2714,0.010152,0.000633,9.1e-05
20429_4c909f3f,0.010152,0.000633,0.000108
23373_f5dac851,0.010152,0.000633,6.3e-05
21794_4d137e7d,0.010152,0.000633,9.7e-05
22065_0d414124,0.010152,0.000633,0.000106
22224_1e749c32,0.010152,0.000633,0.000118
20952_b8a54213,0.010152,0.000633,0.000111
21715_53df62c9,0.010152,0.000633,9.9e-05
21490_d07ff9f8,0.010152,0.000633,0.000158
23041_8d3ea25c,0.010152,0.000633,9.7e-05
22241_535ad84b,0.010152,0.000633,0.000111
23022_86e6a8a0,0.010152,0.000633,0.000108
23053_139f2009,0.010152,0.000633,0.000127
23037_d0df320c,0.010152,0.000633,0.00016
22416_4cd31921,0.010152,0.000633,0.000125
21391_78fc6345,0.010152,0.000633,0.000108
21134_7aa7cd89,0.010152,0.000633,0.000117
22826_199df203,0.010152,0.000633,6.3e-05
21541_abc67be6,0.010152,0.000633,7.6e-05
21028_d4d30a2e,0.010152,0.000633,0.000134
21858_f1409ea2,0.010152,0.000633,6.3e-05
22283_36ba29c9,0.010152,0.000633,0.000111
20620_8a5226b4,0.010152,0.000633,0.000117
20329_414757bb,0.010152,0.000633,6.3e-05
22377_d490f505,0.010152,0.000633,9.1e-05
22492_047b125b,0.010152,0.000633,8.9e-05
22402_a62e84b4,0.010152,0.000633,0.000149
20287_072b5bf6,0.010152,0.000633,0.000176
20810_f6674f2d,0.010152,0.000633,0.000108
22049_4da0d894,0.010152,0.000633,0.000152
20758_cdccf572,0.010152,0.000633,0.000111
22681_124bf3a9,0.010152,0.000633,0.000122
21690_5d1f3475,0.010152,0.000633,0.000108
20546_87dbd755,0.010152,0.000633,0.000106
22092_897b0ffa,0.010152,0.000633,9.7e-05
20991_6795af4f,0.010152,0.000633,0.000152
23049_207a41f0,0.010152,0.000633,6.4e-05
22533_e7298b05,0.010152,0.000633,9e-05
22638_37f9fe91,0.010152,0.000633,0.000152
21617_ddd3657b,0.010152,0.000633,9.1e-05
22345_bc482c26,0.010152,0.000633,9.4e-05
21049_f644930a,0.010152,0.000633,6.4e-05
22732_cd2af0ac,0.010152,0.000633,0.000152
23120_f7c9092f,0.010152,0.000633,9.4e-05
20910_c64b5d1b,0.010152,0.000633,0.000112
21453_679a343c,0.010152,0.000633,0.00014
23158_c7e753c2,0.010152,0.000633,9.5e-05
21856_f84d9348,0.010152,0.000633,9.4e-05
20469_b6211bfd,0.010152,0.000633,9.1e-05
22126_e1cca10f,0.010152,0.000633,6.3e-05
20908_10574fbf,0.010152,0.000633,0.000108
23096_7da0f913,0.010152,0.000633,0.000122
22072_5163223a,0.010152,0.000633,9.4e-05
23438_b1ef78f4,0.010152,0.000633,0.000199
16550_e88d6986,0.010152,0.000633,0.000108
22678_ff42f120,0.010152,0.000633,0.000161
23194_b675acc0,0.010152,0.000633,0.000112
20406_dacb0300,0.010152,0.000633,9.1e-05
22228_1c82530b,0.010152,0.000633,9.7e-05
23199_75dc1efd,0.010152,0.000633,0.00014
23310_7daded69,0.010152,0.000633,0.000101
21923_41fa6eda,0.010152,0.000633,6.4e-05
20788_d25efea2,0.010152,0.000633,6.3e-05
20340_86125547,0.010152,0.000633,0.000151
20779_fc5a7c3d,0.010152,0.000633,7.6e-05
22383_e5f707a7,0.010152,0.000633,6.3e-05
21531_79015e13,0.010152,0.000633,9.4e-05
20322_daa5c577,0.010152,0.000633,7.6e-05
20737_5249e274,0.010152,0.000633,0.000104
23329_6939d5d9,0.010152,0.000633,0.000125
21884_cc2c39f9,0.010152,0.000633,0.000122
20231_f54462bb,0.010152,0.000633,9.1e-05
20322_5a8c6077,0.010152,0.000633,7.6e-05
22528_f3370a64,0.010152,0.000633,0.000127
22168_a84560a9,0.010152,0.000633,0.000117
21513_50fb4d62,0.010152,0.000633,6.3e-05
22043_041e1b7c,0.010152,0.000633,9.1e-05
21224_18ba4aba,0.010152,0.000633,9.7e-05
20246_40be7668,0.010152,0.000633,0.000126
22837_7644c972,0.010152,0.000633,9.1e-05
22843_ff77027f,0.010152,0.000633,0.000108
23244_34b5f55e,0.010152,0.000633,0.00014
21986_67c5509a,0.010152,0.000633,0.000126
21282_b2d83538,0.010152,0.000633,9.4e-05
23176_1bf2a2d5,0.010152,0.000633,6.3e-05
23341_d5ead6d2,0.010152,0.000633,0.000108
21503_34f299ca,0.010152,0.000633,9.4e-05
21958_e48ddf4e,0.010152,0.000633,0.00016
21358_a69a36f3,0.010152,0.000633,6.3e-05
21926_b4c7068b,0.010152,0.000633,0.000127
22461_0ba0e480,0.010152,0.000633,7.6e-05
22746_920025a0,0.010152,0.000633,9.7e-05
20429_9dd95c38,0.010152,0.000633,0.000111
20806_ca60b7ae,0.010152,0.000633,0.000104
23178_eb4b4280,0.010152,0.000633,0.000161
21478_8fbd4409,0.010152,0.000633,0.000158
23511_8651ac1f,0.010152,0.000633,0.000117
22372_e91792a1,0.010152,0.000633,9.4e-05
21634_e5e20375,0.010152,0.000633,0.000133
22430_c6f08b03,0.010152,0.000633,0.000107
23305_2662b29a,0.010152,0.000633,9.4e-05
20701_6dcbc975,0.010152,0.000633,0.000127
23163_7b143a6f,0.010152,0.000633,0.000108
20970_d20c6c35,0.010152,0.000633,0.000164
23218_02d26ab4,0.010152,0.000633,0.00014
22987_37973191,0.010152,0.000633,9.4e-05
22147_12995368,0.010152,0.000633,0.000104
21552_4e9c19b1,0.010152,0.000633,9.4e-05
21582_a3d32115,0.010152,0.000633,9e-05
21911_429c1a72,0.010152,0.000633,0.000108
20657_913a7675,0.010152,0.000633,9.4e-05
21271_ec7f62b8,0.010152,0.000633,0.000158
23164_659c91ef,0.010152,0.000633,9.1e-05
21615_f2ecc6e8,0.010152,0.000633,9.7e-05
21918_976c2754,0.010152,0.000633,0.000127
21924_bbd9f7a9,0.010152,0.000633,0.000101
20451_84d8b290,0.010152,0.000633,0.000144
22085_e039a7d3,0.010152,0.000633,6.3e-05
22983_0ab3faaf,0.010152,0.000633,0.000158
20947_115d4058,0.010152,0.000633,0.000112
23045_a8c4e4bc,0.010152,0.000633,6.3e-05
20259_de1ab632,0.010152,0.000633,9.1e-05
22367_b4a67e61,0.010152,0.000633,0.000104
20849_9821b6fe,0.010152,0.000633,9.7e-05
22469_9d87f800,0.010152,0.000633,9.4e-05
23435_e1c96b4d,0.010152,0.000633,0.000108
23043_c0827516,0.010152,0.000633,6.3e-05
23154_7c74d190,0.010152,0.000633,0.000104
20387_0d507234,0.010152,0.000633,9.4e-05
22862_f5406bb0,0.010152,0.000633,9.1e-05
22890_4ecfa491,0.010152,0.000633,0.000127
21625_d5d4c9a7,0.010152,0.000633,0.000118
22216_4b032400,0.010152,0.000633,0.000158
21564_fa5b2db7,0.010152,0.000633,0.000111
21035_d308c5c4,0.010152,0.000633,9.4e-05
20755_4b5e61bf,0.010152,0.000633,7.6e-05
22419_dfeb5d33,0.010152,0.000633,0.000125
22046_fe3bae6e,0.010152,0.000633,9.7e-05
22378_234fea2c,0.010152,0.000633,0.000108
22659_0e686e14,0.010152,0.000633,0.000158
22304_33009be6,0.010152,0.000633,0.000111
20765_99d0665e,0.010152,0.000633,0.000149
23422_f214bd4d,0.010152,0.000633,0.000111
23343_f000bdae,0.010152,0.000633,0.000108
23161_e7f63a9f,0.010152,0.000633,0.000145
22011_0832eefe,0.010152,0.000633,6.3e-05
22214_b098105d,0.010152,0.000633,9.1e-05
23204_ff1672a9,0.010152,0.000633,9e-05
22891_b8c84495,0.010152,0.000633,0.000108
21529_93e51dd9,0.010152,0.000633,9.7e-05
20429_419c4cdd,0.010152,0.000633,0.000111
20241_8c0d3f83,0.010152,0.000633,9.1e-05
20440_27177360,0.010152,0.000633,0.000115
20554_abcb705e,0.010152,0.000633,6.3e-05
22135_2aa77ff2,0.010152,0.000633,0.000108
21204_96d26a7f,0.010152,0.000633,0.000104
22259_613f9d44,0.010152,0.000633,0.000158
20520_7e357152,0.010152,0.000633,0.000112
21390_4d1e2d9c,0.010152,0.000633,9.7e-05
22053_de30641b,0.010152,0.000633,9.1e-05
20293_a1999339,0.010152,0.000633,0.000127
21779_b99623fc,0.010152,0.000633,9.7e-05
22180_ce7c3bd8,0.010152,0.000633,9.1e-05
20421_49bd1188,0.010152,0.000633,0.000107
20530_2246503a,0.010152,0.000633,7.6e-05
20815_b3d9e6c9,0.010152,0.000633,8.7e-05
21809_8bd6b10e,0.010152,0.000633,0.000143
22210_649a5363,0.010152,0.000633,9.1e-05
23195_2629864e,0.010152,0.000633,0.000111
22827_f33929ec,0.010152,0.000633,0.000127
20745_3e22ad07,0.010152,0.000633,0.000104
20212_5d1f2de1,0.010152,0.000633,0.000108
21496_f4025ad5,0.010152,0.000633,9.4e-05
21550_0b16151d,0.010152,0.000633,9.7e-05
23209_1592b0a4,0.010152,0.000633,0.00014
22498_b8bdb105,0.010152,0.000633,0.00015
23380_abffc859,0.010152,0.000633,6.3e-05
20389_c835706f,0.010152,0.000633,8.2e-05
21429_6d2d3974,0.010152,0.000633,9.4e-05
21843_effbd24d,0.010152,0.000633,0.000125
23439_18900af2,0.010152,0.000633,9.1e-05
21737_87d83240,0.010152,0.000633,8.7e-05
20802_802b7d69,0.010152,0.000633,9.7e-05
20392_8b23d193,0.010152,0.000633,0.000108
22178_976d2411,0.010152,0.000633,0.000108
22907_ff18dbd5,0.010152,0.000633,0.000108
21647_6b6cca6f,0.010152,0.000633,9.3e-05
20342_c140780b,0.010152,0.000633,0.000108
21982_bdafa78d,0.010152,0.000633,0.000161
20232_e5b060d9,0.010152,0.000633,0.000108
22852_dc1dbed6,0.010152,0.000633,9.4e-05
22666_bdaa1303,0.010152,0.000633,9.7e-05
21977_ce9f4e71,0.010152,0.000633,0.000125
22404_66db7dd7,0.010152,0.000633,0.000126
22374_aa5bb54d,0.010152,0.000633,0.000108
20801_0796e2ee,0.010152,0.000633,9.7e-05
22710_77324fc2,0.010152,0.000633,6.4e-05
22045_ead71aca,0.010152,0.000633,6.4e-05
23339_87a4d11f,0.010152,0.000633,0.00014
22095_af226cbc,0.010152,0.000633,0.00016
23442_28996649,0.010152,0.000633,0.000108
23028_2ca87745,0.010152,0.000633,9.7e-05
21573_31a18ad0,0.010152,0.000633,9.1e-05
20592_573e41b2,0.010152,0.000633,9.4e-05
22899_5b97e4f5,0.010152,0.000633,0.000108
22062_2d6b3b72,0.010152,0.000633,8.7e-05
21590_7d092186,0.010152,0.000633,6.3e-05
22577_cd96733e,0.010152,0.000633,9.7e-05
21912_3f74887c,0.010152,0.000633,9.7e-05
21816_3891a442,0.010152,0.000633,6.3e-05
20245_f1b25d43,0.010152,0.000633,0.000104
22617_a286f13c,0.010152,0.000633,9.4e-05
23233_ac09e2e5,0.010152,0.000633,0.000104
21469_abec26c4,0.010152,0.000633,0.000108
22413_901f5867,0.010152,0.000633,9e-05
22061_b50b6b66,0.010152,0.000633,8.7e-05
23475_b14d1dc8,0.010152,0.000633,6.3e-05
20787_ed64ff5e,0.010152,0.000633,0.000111
20746_57a7b346,0.010152,0.000633,0.000127
23219_40625e2c,0.010152,0.000633,0.00014
22311_553b3456,0.010152,0.000633,0.00016
22017_6d3be48d,0.010152,0.000633,9.4e-05
21091_bbf490e7,0.010152,0.000633,6.3e-05
23480_3f7a8d50,0.010152,0.000633,9.4e-05
20814_5a2be0fb,0.010152,0.000633,0.000106
22654_4c426b0f,0.010152,0.000633,0.000158
21594_428d32af,0.010152,0.000633,9.4e-05
22270_c6999138,0.010152,0.000633,9.1e-05
21062_c4ed6d45,0.010152,0.000633,0.00014
20376_eefa9511,0.010152,0.000633,0.000108
22399_97987ada,0.010152,0.000633,0.000164
20870_dedaef5b,0.010152,0.000633,0.000158
22211_b1ee53f0,0.010152,0.000633,8.1e-05
21810_718ae2fe,0.010152,0.000633,0.000104
20215_e2eb3082,0.010152,0.000633,9.7e-05
22561_067b78ae,0.010152,0.000633,0.000136
21421_fb12b69b,0.010152,0.000633,9e-05
22082_39503fa6,0.010152,0.000633,6.3e-05
23308_245d257c,0.010152,0.000633,9.7e-05
22844_9b75b8e0,0.010152,0.000633,0.000108
20408_b4fda9eb,0.010152,0.000633,9.7e-05
21326_ab4d6c43,0.010152,0.000633,0.000108
23211_3aac9c7e,0.010152,0.000633,0.00014
20807_88c198d5,0.010152,0.000633,0.000104
20676_9715ec9c,0.010152,0.000633,0.000141
20220_3de82b2a,0.010152,0.000633,0.00014
22776_facf9bcf,0.010152,0.000633,6.3e-05
21837_b67d788c,0.010152,0.000633,9.7e-05
20668_b2f2633e,0.010152,0.000633,0.000158
21459_a9de5e5b,0.010152,0.000633,0.000108
21386_e234c6b6,0.010152,0.000633,0.00016
22474_b10fea1a,0.010152,0.000633,6.3e-05
19051_26735260,0.010152,0.000633,0.000127
22218_2f85f6ae,0.010152,0.000633,8.7e-05
20351_dc6e4e1e,0.010152,0.000633,9e-05
22021_520ec8c3,0.010152,0.000633,7.6e-05
22026_62afa265,0.010152,0.000633,0.00014
Composite,0.001269,0.000633,0.0
EdgeCount,0.001269,0.000633,0.0
FaceCount,0.001269,0.000633,0.0
GeometricComplexity,0.001269,0.000633,0.0
Mass,0.001269,0.000633,0.0
Volume,0.001269,0.000633,0.0
ComponentCount,0.001269,0.000633,0.0
RotationalSymmetry,0.001269,0.000633,0.0
21448_5646a1b6,0.010152,0.000633,0.000111
22312_3f366a4a,0.010152,0.000633,0.00016
20756_75f43564,0.010152,0.000633,0.000108
21708_e61bd657,0.010152,0.000633,0.000111
23311_ad36a9ec,0.010152,0.000633,9.1e-05
22680_1f4026f6,0.010152,0.000633,6.3e-05
21265_7329c813,0.010152,0.000633,9.7e-05
22832_731d3b9f,0.010152,0.000633,7.6e-05
23476_705b76d1,0.010152,0.000633,6.3e-05
22131_6b4b60f8,0.010152,0.000633,9.1e-05
20994_9c88b1ba,0.010152,0.000633,0.000108
20332_0c2a24aa,0.010152,0.000633,0.000108
21825_ce32b0a0,0.010152,0.000633,0.000111
22895_4533b542,0.010152,0.000633,0.000108
21047_60d69af3,0.010152,0.000633,0.000108
22197_66c5655e,0.010152,0.000633,0.000134
