assembly_name,family,component_count,body_count,edge_count,face_count,vertex_count,mass,volume,surface_area,material,complexity_ratio,rotational_symmetry,geometric_complexity,source_file,json_found,properties_name,properties_vertex_count,properties_edge_count,properties_face_count,properties_loop_count,properties_shell_count,properties_body_count,properties_area,properties_volume,properties_density,properties_mass,properties_design_type,properties_likes_count,properties_comments_count,properties_views_count
22561_067b78ae,symmetric_rotor,2,4.0,626.0,243.0,410.0,0.0332226187901349,1.5601919878534107,0.0,"Phenolic Resin, Platinum",2.5761316872427984,1,1279.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22561_067b78ae/assembly.json,True,Untitled,410,626,243,262,4,4,22.5738366096764,1.5601919878534107,0.021293929880927216,0.033222618790134974,ParametricDesignType,1,0,1414
21421_fb12b69b,complex_assembly,89,95.0,5152.0,2455.0,3532.0,4.119396720203721,1632.8409370843815,0.0,"Wood, Steel, Brass",2.0985743380855397,0,11139.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21421_fb12b69b/assembly.json,True,Untitled,3532,5152,2455,3309,95,95,5259.353044151714,1632.8409370843815,0.0025228401779045055,4.119396720203721,ParametricDesignType,2,2,758
22082_39503fa6,medium_rotor,22,56.0,1128.0,509.0,757.0,2.9355372303480243,373.9537873054807,0.0,Steel,2.2161100196463654,0,2394.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22082_39503fa6/assembly.json,True,Untitled,757,1128,509,557,56,56,1039.2861887050437,373.9537873054807,0.007850000000000001,2.9355372303480243,ParametricDesignType,3,0,1432
23308_245d257c,medium_rotor,1,3.0,444.0,178.0,278.0,0.1244151336468581,15.84906161106473,0.0,Steel,2.49438202247191,0,900.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23308_245d257c/assembly.json,True,Untitled,278,444,178,193,3,3,481.1881124343452,15.84906161106473,0.007849999999999998,0.1244151336468581,ParametricDesignType,0,1,370
22844_9b75b8e0,simple_rotor,1,3.0,63.0,32.0,46.0,0.1630665513237929,20.772809085833497,0.0,Steel,1.96875,0,141.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22844_9b75b8e0/assembly.json,True,Untitled,46,63,32,53,3,3,179.5565856703286,20.772809085833494,0.00785,0.1630665513237929,ParametricDesignType,0,0,370
20408_b4fda9eb,medium_rotor,1,7.0,327.0,167.0,194.0,0.0143255106754153,1.824905818524248,0.0,"Steel, Mild",1.9580838323353291,0,688.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20408_b4fda9eb/assembly.json,True,Untitled,194,327,167,187,7,7,33.37055656521418,1.824905818524248,0.00785,0.014325510675415345,ParametricDesignType,10,6,1333
21326_ab4d6c43,simple_rotor,6,5.0,227.0,115.0,148.0,0.0186962195812487,2.381684023089007,0.0,Steel,1.9739130434782608,0,490.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21326_ab4d6c43/assembly.json,True,Untitled,148,227,115,153,5,5,30.311853109543517,2.381684023089007,0.00785,0.018696219581248702,ParametricDesignType,1,1,846
22211_b1ee53f0,complex_assembly,22,41.0,3187.0,1227.0,2147.0,1.39189092924748,177.31094640095287,0.0,Steel,2.5973920130399346,1,6561.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22211_b1ee53f0/assembly.json,True,Untitled,2147,3187,1227,1382,41,41,972.6530803582699,177.31094640095287,0.00785,1.39189092924748,ParametricDesignType,1,0,488
23211_3aac9c7e,simple_rotor,10,14.0,156.0,98.0,125.0,0.2339411015118468,410.2378146986235,0.0,Wood,1.5918367346938775,0,379.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23211_3aac9c7e/assembly.json,True,Untitled,125,156,98,163,14,14,743.08307912991,410.2378146986235,0.0005702572827999998,0.23394110151184686,ParametricDesignType,0,0,1425
20676_9715ec9c,medium_rotor,1,12.0,406.0,192.0,231.0,0.0331019088970785,31.2282159406401,0.0,ABS Plastic,2.1145833333333335,0,829.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20676_9715ec9c/assembly.json,True,Untitled,231,406,192,205,12,12,190.69264861008887,31.2282159406401,0.00106,0.03310190889707851,ParametricDesignType,4,0,806
20220_3de82b2a,simple_rotor,1,3.0,52.0,24.0,28.0,329.95006825578696,42031.855828762666,0.0,"Steel, Mild",2.1666666666666665,0,104.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20220_3de82b2a/assembly.json,True,Untitled,28,52,24,24,3,3,25037.754993549657,42031.855828762666,0.007850000000000001,329.95006825578696,ParametricDesignType,0,0,451
22776_facf9bcf,medium_rotor,17,16.0,593.0,287.0,400.0,1.133859809687112,144.44074008753023,0.0,Steel,2.0662020905923346,0,1280.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22776_facf9bcf/assembly.json,True,Untitled,400,593,287,393,16,16,686.4926605089847,144.44074008753023,0.007849999999999998,1.133859809687112,ParametricDesignType,0,0,438
21837_b67d788c,medium_rotor,2,16.0,645.0,259.0,432.0,0.0176948655548477,2.2541230006175477,0.0,Steel,2.4903474903474905,0,1336.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21837_b67d788c/assembly.json,True,Untitled,432,645,259,284,16,16,31.85911346668277,2.2541230006175477,0.00785,0.017694865554847748,ParametricDesignType,0,0,468
20668_b2f2633e,high_complexity_rotor,3,11.0,2862.0,1326.0,1574.0,0.2200027281497328,28.025825242004192,0.0,Steel,2.158371040723982,0,5762.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20668_b2f2633e/assembly.json,True,Untitled,1574,2862,1326,1358,11,11,281.930030581953,28.025825242004192,0.00785,0.22000272814973287,ParametricDesignType,5,1,995
21459_a9de5e5b,simple_rotor,1,4.0,76.0,32.0,50.0,0.0,13.72406088492881,0.0,"Steel, Mild, Acetal Resin, Black, Magnesium",2.375,0,158.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21459_a9de5e5b/assembly.json,True,Untitled,50,76,32,32,4,4,479.94184771290804,13.72406088492881,1.4132166890967644e+39,1.9395071884761507e+40,ParametricDesignType,0,0,154
21386_e234c6b6,symmetric_rotor,3,7.0,839.0,324.0,572.0,10.533118485391029,1341.7985331708314,0.0,Steel,2.5895061728395063,1,1735.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21386_e234c6b6/assembly.json,True,Untitled,572,839,324,381,7,7,1442.6342499914756,1341.7985331708314,0.007850000000000001,10.533118485391029,ParametricDesignType,2,2,1121
22474_b10fea1a,medium_rotor,18,26.0,471.0,313.0,390.0,17.67149771143742,2251.1462052786565,0.0,Steel,1.5047923322683705,0,1174.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22474_b10fea1a/assembly.json,True,Untitled,390,471,313,584,26,26,5239.023007326342,2251.1462052786565,0.007849999999999985,17.67149771143742,ParametricDesignType,0,0,442
19051_26735260,high_complexity_rotor,14,20.0,3156.0,1263.0,2072.0,7.85613562612075,1004.986441720196,0.0,"Stainless Steel, 440C, Steel, Mild, Rubber",2.498812351543943,0,6491.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/19051_26735260/assembly.json,True,Untitled,2072,3156,1263,1446,20,20,2351.641213859555,1004.9864417201959,0.007817155834136141,7.85613562612075,ParametricDesignType,1,0,515
20332_0c2a24aa,simple_rotor,3,2.0,42.0,18.0,30.0,0.6733832410354295,85.78130459050058,0.0,"Steel, Mild",2.3333333333333335,0,90.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20332_0c2a24aa/assembly.json,True,Untitled,30,42,18,20,2,2,129.37839707937167,85.78130459050058,0.00785,0.6733832410354295,ParametricDesignType,0,1,395
20807_88c198d5,simple_rotor,1,2.0,119.0,42.0,84.0,2.8499240343751713,363.0476476911047,0.0,Steel,2.8333333333333335,1,245.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20807_88c198d5/assembly.json,True,Untitled,84,119,42,49,2,2,1294.4573913497275,363.0476476911047,0.007849999999999998,2.8499240343751713,ParametricDesignType,0,1,512
21825_ce32b0a0,simple_rotor,2,2.0,168.0,62.0,109.0,0.0481237493004103,6.130413923619155,0.0,Steel,2.7096774193548385,1,339.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21825_ce32b0a0/assembly.json,True,Untitled,109,168,62,63,2,2,50.9107260089491,6.130413923619155,0.007850000000000001,0.04812374930041037,ParametricDesignType,0,0,452
23366_cc0bc28e,medium_rotor,1,2.0,268.0,117.0,167.0,0.8735185367921723,111.27624672511747,0.0,Steel,2.2905982905982905,0,552.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23366_cc0bc28e/assembly.json,True,Untitled,167,268,117,131,2,2,322.52443306297124,111.27624672511749,0.00785,0.8735185367921723,ParametricDesignType,0,0,412
22136_a539c50b,simple_rotor,1,3.0,84.0,26.0,62.0,0.0003326436342151,0.042374985250343,0.0,Steel,3.230769230769231,1,172.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22136_a539c50b/assembly.json,True,Untitled,62,84,26,26,3,3,1.690562137470709,0.04237498525034303,0.00785,0.00033264363421519277,ParametricDesignType,0,0,431
20414_a33bd0d7,medium_rotor,1,10.0,265.0,134.0,190.0,1.055489072812649,134.45720672772595,0.0,"Steel, Mild",1.9776119402985075,0,589.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20414_a33bd0d7/assembly.json,True,Untitled,190,265,134,201,10,10,408.9118457610069,134.45720672772597,0.00785,1.055489072812649,ParametricDesignType,0,0,645
22196_0deb2e34,medium_rotor,3,3.0,972.0,396.0,638.0,0.0778560411846075,73.44909545717695,0.0,ABS Plastic,2.4545454545454546,0,2006.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22196_0deb2e34/assembly.json,True,Untitled,638,972,396,498,3,3,685.936726179169,73.44909545717695,0.00106,0.07785604118460757,ParametricDesignType,1,0,709
23273_8f301ce3,complex_assembly,23,22.0,4300.0,1558.0,2885.0,8.276125481392897,1183.5460994164237,0.0,"Steel, Bamboo, ABS Plastic",2.7599486521181,1,8743.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23273_8f301ce3/assembly.json,True,Untitled,2885,4300,1558,1740,22,22,8991.496028091537,1183.5460994164237,0.006992651562515093,8.276125481392897,ParametricDesignType,0,2,846
21063_037107dc,high_complexity_rotor,1,220.0,2477.0,1040.0,1449.0,0.1401155829442215,17.849118846397687,0.0,Steel,2.3817307692307694,0,4966.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21063_037107dc/assembly.json,True,Untitled,1449,2477,1040,1050,220,220,390.5094929736174,17.849118846397687,0.007849999999999984,0.14011558294422155,ParametricDesignType,7,4,1552
23351_6104d55d,simple_rotor,1,3.0,55.0,26.0,38.0,2.798639212558206,356.5145493704721,0.0,Steel,2.1153846153846154,0,119.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23351_6104d55d/assembly.json,True,Untitled,38,55,26,33,3,3,782.0758153246534,356.5145493704721,0.00785,2.798639212558206,ParametricDesignType,1,0,738
21236_b696e901,complex_assembly,149,161.0,9740.0,3974.0,6733.0,1.7505252510981446,421.31917654214647,0.0,"Copper, Polyurethane Foam, Steel",2.4509310518369403,0,20447.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21236_b696e901/assembly.json,True,Untitled,6733,9740,3974,4932,161,161,5035.036793359508,421.31917654214647,0.004154867256375717,1.7505252510981446,ParametricDesignType,1,0,465
23321_c9497b79,simple_rotor,6,4.0,55.0,50.0,51.0,7.841093828090134,1016.6692229670456,0.0,"Steel, Glass, Cast, Clear",1.1,0,156.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23321_c9497b79/assembly.json,True,Untitled,51,55,50,92,4,4,2507.00185232411,1016.6692229670456,0.00771253191397562,7.841093828090134,ParametricDesignType,1,1,544
21351_675c66b1,complex_assembly,38,108.0,1519.0,840.0,1027.0,51.90083926247319,7354.476400459955,0.0,"Steel, Plastic",1.8083333333333331,0,3386.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21351_675c66b1/assembly.json,True,Untitled,1027,1519,840,1078,108,108,80551.8373361851,7354.476400459955,0.007057040696904986,51.90083926247319,ParametricDesignType,0,0,417
20675_66ac9773,high_complexity_rotor,8,32.0,29792.0,10128.0,19530.0,627.3053685544205,79911.51191776055,0.0,"Steel, Mild, Steel",2.941548183254344,1,59450.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20675_66ac9773/assembly.json,True,Untitled,19530,29792,10128,10966,32,32,321058.05636657786,79911.51191776055,0.007850000000000003,627.3053685544205,ParametricDesignType,4,7,1427
23238_3c864758,medium_rotor,1,6.0,244.0,125.0,163.0,21.438347226872068,2730.999646735295,0.0,Steel,1.952,0,532.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23238_3c864758/assembly.json,True,Untitled,163,244,125,157,6,6,3112.4542556456836,2730.999646735295,0.007850000000000001,21.438347226872068,ParametricDesignType,0,0,345
20193_2da4f0a0,simple_rotor,3,3.0,68.0,32.0,46.0,2.914357291516537,371.25570592567345,0.0,"Steel, Mild",2.125,0,146.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20193_2da4f0a0/assembly.json,True,Untitled,46,68,32,36,3,3,4977.069843188179,371.25570592567345,0.00785,2.9143572915165366,ParametricDesignType,0,0,580
23473_1dfa6e40,medium_rotor,1,34.0,666.0,300.0,448.0,0.3223613995195525,41.065146435611794,0.0,Steel,2.22,0,1414.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23473_1dfa6e40/assembly.json,True,Untitled,448,666,300,336,34,34,197.0154545921577,41.065146435611794,0.00785,0.32236139951955256,ParametricDesignType,1,0,644
21709_4dd88551,high_complexity_rotor,13,16.0,2084.0,735.0,1404.0,5.4933542843715975,1457.045226327639,0.0,"Acetal Resin, White, Steel, ABS Plastic",2.835374149659864,1,4223.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21709_4dd88551/assembly.json,True,Untitled,1404,2084,735,838,16,16,3891.2139513986267,1457.045226327639,0.003770201628001032,5.4933542843715975,ParametricDesignType,6,0,850
20646_4cd14a72,simple_rotor,6,5.0,168.0,82.0,117.0,0.3029761972836224,38.59569392148057,0.0,Steel,2.048780487804878,0,367.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20646_4cd14a72/assembly.json,True,Untitled,117,168,82,113,5,5,158.36368843151348,38.59569392148057,0.007850000000000001,0.30297619728362246,ParametricDesignType,3,1,904
21588_0c48dc5f,simple_rotor,5,8.0,188.0,90.0,131.0,2.5246212018838756,321.60779641832806,0.0,Steel,2.088888888888889,0,409.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21588_0c48dc5f/assembly.json,True,Untitled,131,188,90,115,8,8,1633.915735713323,321.60779641832806,0.007850000000000001,2.5246212018838756,ParametricDesignType,0,0,338
23377_690165aa,high_complexity_rotor,2,35.0,2899.0,1140.0,1952.0,0.0706914818768006,9.00528431551598,0.0,Steel,2.5429824561403507,1,5991.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23377_690165aa/assembly.json,True,Untitled,1952,2899,1140,1271,35,35,159.08091914239125,9.00528431551598,0.007850000000000022,0.07069148187680063,ParametricDesignType,10,0,4786
23468_a0bfb573,symmetric_rotor,8,17.0,1282.0,479.0,866.0,0.4752187844623831,60.53742477227811,0.0,Steel,2.6764091858037578,1,2627.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23468_a0bfb573/assembly.json,True,Untitled,866,1282,479,548,17,17,427.3844757012688,60.53742477227811,0.00785,0.4752187844623831,ParametricDesignType,1,0,381
20468_1c33550a,simple_rotor,1,4.0,123.0,53.0,76.0,0.9617498800915052,122.5159082919115,0.0,"Steel, Mild",2.320754716981132,0,252.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20468_1c33550a/assembly.json,True,Untitled,76,123,53,53,4,4,502.63453426552564,122.5159082919115,0.00785,0.9617498800915052,ParametricDesignType,0,0,168
21176_b5c72bfb,symmetric_rotor,7,7.0,414.0,152.0,276.0,6.458829599617194,11326.167724885852,0.0,Wood,2.723684210526316,1,842.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21176_b5c72bfb/assembly.json,True,Untitled,276,414,152,152,7,7,15176.803148688221,11326.167724885852,0.00057025728,6.458829599617194,ParametricDesignType,0,0,908
23252_ef165bed,medium_rotor,1,53.0,644.0,338.0,443.0,0.031036444338005,3.953687176815931,0.0,Steel,1.9053254437869824,0,1425.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23252_ef165bed/assembly.json,True,Untitled,443,644,338,373,53,53,43.38066512272765,3.9536871768159316,0.007850000000000001,0.031036444338005068,ParametricDesignType,0,0,428
21164_de08f61e,medium_rotor,12,39.0,1251.0,689.0,847.0,3.7082462226144894,200.98401051800823,0.0,"Copper, Titanium, Gold",1.8156748911465892,0,2787.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21164_de08f61e/assembly.json,True,Untitled,847,1251,689,956,39,39,1198.680653701725,200.98401051800826,0.018450453909527438,3.7082462226144894,ParametricDesignType,5,1,832
20789_1809f41f,medium_rotor,8,10.0,424.0,176.0,283.0,159.62700053586423,87444.51662877313,0.0,"Wood, Aluminum",2.409090909090909,0,883.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20789_1809f41f/assembly.json,True,Untitled,283,424,176,195,10,10,88993.02995099557,87444.51662877313,0.001825466097703145,159.62700053586425,ParametricDesignType,1,0,965
22197_66c5655e,medium_rotor,3,3.0,837.0,365.0,598.0,0.1553720810226121,102.2018810627136,0.0,"ABS Plastic, Glass, Cast, Clear",2.293150684931507,0,1800.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22197_66c5655e/assembly.json,True,Untitled,598,837,365,577,3,3,951.3704343953682,102.20188106271361,0.0015202467841787762,0.15537208102261213,ParametricDesignType,0,1,827
21352_c1101acb,high_complexity_rotor,5,4.0,1892.0,712.0,1209.0,875.2769490942155,111500.24829225671,0.0,Steel,2.657303370786517,1,3813.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21352_c1101acb/assembly.json,True,Untitled,1209,1892,712,749,4,4,171903.30908957624,111500.24829225673,0.007850000000000001,875.2769490942155,ParametricDesignType,6,3,790
22376_3ebc82a2,medium_rotor,9,40.0,1149.0,514.0,779.0,14.697756774990223,1872.3257038204104,0.0,Steel,2.235408560311284,0,2442.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22376_3ebc82a2/assembly.json,True,Untitled,779,1149,514,636,40,40,2451.4087982529963,1872.3257038204104,0.007850000000000001,14.697756774990223,ParametricDesignType,1,0,652
20502_58b65de9,symmetric_rotor,19,18.0,1091.0,435.0,694.0,13.80761742828632,1758.9321564695952,0.0,"Steel, Mild",2.5080459770114945,1,2220.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20502_58b65de9/assembly.json,True,Untitled,694,1091,435,443,18,18,5754.763132741028,1758.9321564695952,0.00785,13.80761742828632,ParametricDesignType,5,9,1157
21153_a2fb81fe,high_complexity_rotor,3,16.0,1634.0,681.0,1145.0,298.48447896882084,38023.50050558228,0.0,Steel,2.3994126284875184,0,3460.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21153_a2fb81fe/assembly.json,True,Untitled,1145,1634,681,913,16,16,39107.94322256728,38023.50050558228,0.00785,298.48447896882084,ParametricDesignType,0,0,426
20409_dafedec6,simple_rotor,1,1.0,52.0,26.0,28.0,0.2577306786880475,30.35697039906331,0.0,Brass,2.0,0,106.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20409_dafedec6/assembly.json,True,Untitled,28,52,26,26,1,1,100.99372573498235,30.35697039906331,0.00849,0.2577306786880475,ParametricDesignType,0,0,656
21492_8bd34fc1,complex_assembly,86,87.0,5389.0,2051.0,3710.0,12.022523230745945,1805.6258068030104,0.0,"Steel, Wood",2.627498781082399,1,11150.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21492_8bd34fc1/assembly.json,True,Untitled,3710,5389,2051,2637,87,87,6021.727071650024,1805.6258068030102,0.006658369184494922,12.022523230745945,ParametricDesignType,1,0,612
20622_38dd90d0,high_complexity_rotor,5,43.0,1797.0,885.0,1292.0,2.3679177396010425,301.6455719236995,0.0,"Steel, Mild",2.0305084745762714,0,3974.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20622_38dd90d0/assembly.json,True,Untitled,1292,1797,885,1187,55,43,1326.0186848899748,301.6455719236995,0.007850000000000005,2.3679177396010425,ParametricDesignType,4,1,915
22428_c1ffa51a,high_complexity_rotor,2,57.0,4909.0,1899.0,3156.0,0.915579070196148,116.63427645810808,0.0,Steel,2.5850447604002107,1,9964.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22428_c1ffa51a/assembly.json,True,Untitled,3156,4909,1899,2021,57,57,518.613966663584,116.63427645810808,0.007849999999999998,0.9155790701961481,ParametricDesignType,7,1,890
