Subject,Predicate,Object
20351_dc6e4e1e,belongsToFamily,complex_assembly
20351_dc6e4e1e,hasComplexityLevel,High
20351_dc6e4e1e,hasTopology,Dense
20351_dc6e4e1e,hasStructure,Asymmetric
20351_dc6e4e1e,hasMassCategory,MediumWeight
20351_dc6e4e1e,hasVolumeCategory,MediumVolume
22218_2f85f6ae,rdf:type,MediumRotor
22218_2f85f6ae,hasMaterial,Steel
22218_2f85f6ae,belongsToFamily,medium_rotor
22218_2f85f6ae,hasComplexityLevel,Medium
22218_2f85f6ae,hasTopology,Sparse
22218_2f85f6ae,hasStructure,Asymmetric
22218_2f85f6ae,hasMassCategory,MediumWeight
22218_2f85f6ae,hasVolumeCategory,MediumVolume
21810_718ae2fe,rdf:type,SimpleRotor
21810_718ae2fe,hasMaterial,Steel
21810_718ae2fe,belongsToFamily,simple_rotor
21810_718ae2fe,hasComplexityLevel,Low
21810_718ae2fe,hasTopology,Sparse
21810_718ae2fe,hasStructure,Symmetric
21810_718ae2fe,hasMassCategory,MediumWeight
21810_718ae2fe,hasVolumeCategory,MediumVolume
20215_e2eb3082,rdf:type,MediumRotor
20215_e2eb3082,hasMaterial,Steel
20215_e2eb3082,belongsToFamily,medium_rotor
20215_e2eb3082,hasComplexityLevel,Medium
20215_e2eb3082,hasTopology,Moderate
20215_e2eb3082,hasStructure,Asymmetric
20215_e2eb3082,hasMassCategory,LightWeight
20215_e2eb3082,hasVolumeCategory,SmallVolume
22561_067b78ae,rdf:type,SymmetricRotor
22561_067b78ae,hasMaterial,OtherEngineeringMaterial
22561_067b78ae,belongsToFamily,symmetric_rotor
22561_067b78ae,hasComplexityLevel,Medium
22561_067b78ae,hasTopology,Moderate
22561_067b78ae,hasStructure,Symmetric
22561_067b78ae,hasMassCategory,LightWeight
22561_067b78ae,hasVolumeCategory,SmallVolume
21421_fb12b69b,rdf:type,ComplexAssembly
21421_fb12b69b,hasMaterial,Steel
21421_fb12b69b,belongsToFamily,complex_assembly
21421_fb12b69b,hasComplexityLevel,High
21421_fb12b69b,hasTopology,Dense
21421_fb12b69b,hasStructure,Asymmetric
21421_fb12b69b,hasMassCategory,MediumWeight
21421_fb12b69b,hasVolumeCategory,MediumVolume
22082_39503fa6,rdf:type,MediumRotor
22082_39503fa6,hasMaterial,Steel
22082_39503fa6,belongsToFamily,medium_rotor
22082_39503fa6,hasComplexityLevel,Medium
22082_39503fa6,hasTopology,Moderate
22082_39503fa6,hasStructure,Asymmetric
22082_39503fa6,hasMassCategory,MediumWeight
22082_39503fa6,hasVolumeCategory,MediumVolume
23308_245d257c,rdf:type,MediumRotor
23308_245d257c,hasMaterial,Steel
23308_245d257c,belongsToFamily,medium_rotor
23308_245d257c,hasComplexityLevel,Medium
23308_245d257c,hasTopology,Moderate
23308_245d257c,hasStructure,Asymmetric
23308_245d257c,hasMassCategory,LightWeight
23308_245d257c,hasVolumeCategory,SmallVolume
22844_9b75b8e0,rdf:type,SimpleRotor
22844_9b75b8e0,hasMaterial,Steel
22844_9b75b8e0,belongsToFamily,simple_rotor
22844_9b75b8e0,hasComplexityLevel,Low
22844_9b75b8e0,hasTopology,Sparse
22844_9b75b8e0,hasStructure,Asymmetric
22844_9b75b8e0,hasMassCategory,LightWeight
22844_9b75b8e0,hasVolumeCategory,SmallVolume
20408_b4fda9eb,rdf:type,MediumRotor
20408_b4fda9eb,hasMaterial,Steel
20408_b4fda9eb,belongsToFamily,medium_rotor
20408_b4fda9eb,hasComplexityLevel,Medium
20408_b4fda9eb,hasTopology,Moderate
20408_b4fda9eb,hasStructure,Asymmetric
20408_b4fda9eb,hasMassCategory,LightWeight
20408_b4fda9eb,hasVolumeCategory,SmallVolume
21326_ab4d6c43,rdf:type,SimpleRotor
21326_ab4d6c43,hasMaterial,Steel
21326_ab4d6c43,belongsToFamily,simple_rotor
21326_ab4d6c43,hasComplexityLevel,Low
21326_ab4d6c43,hasTopology,Sparse
21326_ab4d6c43,hasStructure,Asymmetric
21326_ab4d6c43,hasMassCategory,LightWeight
21326_ab4d6c43,hasVolumeCategory,SmallVolume
22211_b1ee53f0,rdf:type,ComplexAssembly
22211_b1ee53f0,hasMaterial,Steel
22211_b1ee53f0,belongsToFamily,complex_assembly
22211_b1ee53f0,hasComplexityLevel,High
22211_b1ee53f0,hasTopology,Dense
22211_b1ee53f0,hasStructure,Symmetric
22211_b1ee53f0,hasMassCategory,MediumWeight
22211_b1ee53f0,hasVolumeCategory,MediumVolume
23211_3aac9c7e,rdf:type,SimpleRotor
23211_3aac9c7e,hasMaterial,Wood
23211_3aac9c7e,belongsToFamily,simple_rotor
23211_3aac9c7e,hasComplexityLevel,Low
23211_3aac9c7e,hasTopology,Sparse
23211_3aac9c7e,hasStructure,Asymmetric
23211_3aac9c7e,hasMassCategory,LightWeight
23211_3aac9c7e,hasVolumeCategory,MediumVolume
20676_9715ec9c,rdf:type,MediumRotor
20676_9715ec9c,hasMaterial,Plastic
20676_9715ec9c,belongsToFamily,medium_rotor
20676_9715ec9c,hasComplexityLevel,Medium
20676_9715ec9c,hasTopology,Moderate
20676_9715ec9c,hasStructure,Asymmetric
20676_9715ec9c,hasMassCategory,LightWeight
20676_9715ec9c,hasVolumeCategory,SmallVolume
20220_3de82b2a,rdf:type,SimpleRotor
20220_3de82b2a,hasMaterial,Steel
20220_3de82b2a,belongsToFamily,simple_rotor
20220_3de82b2a,hasComplexityLevel,Low
20220_3de82b2a,hasTopology,Sparse
20220_3de82b2a,hasStructure,Asymmetric
20220_3de82b2a,hasMassCategory,HeavyWeight
20220_3de82b2a,hasVolumeCategory,LargeVolume
22776_facf9bcf,rdf:type,MediumRotor
22776_facf9bcf,hasMaterial,Steel
22776_facf9bcf,belongsToFamily,medium_rotor
22776_facf9bcf,hasComplexityLevel,Medium
22776_facf9bcf,hasTopology,Moderate
22776_facf9bcf,hasStructure,Asymmetric
22776_facf9bcf,hasMassCategory,MediumWeight
22776_facf9bcf,hasVolumeCategory,MediumVolume
21837_b67d788c,rdf:type,MediumRotor
21837_b67d788c,hasMaterial,Steel
21837_b67d788c,belongsToFamily,medium_rotor
21837_b67d788c,hasComplexityLevel,Medium
21837_b67d788c,hasTopology,Moderate
21837_b67d788c,hasStructure,Asymmetric
21837_b67d788c,hasMassCategory,LightWeight
21837_b67d788c,hasVolumeCategory,SmallVolume
20668_b2f2633e,rdf:type,HighComplexityRotor
20668_b2f2633e,hasMaterial,Steel
20668_b2f2633e,belongsToFamily,high_complexity_rotor
20668_b2f2633e,hasComplexityLevel,High
20668_b2f2633e,hasTopology,Dense
20668_b2f2633e,hasStructure,Asymmetric
20668_b2f2633e,hasMassCategory,LightWeight
20668_b2f2633e,hasVolumeCategory,SmallVolume
21459_a9de5e5b,rdf:type,SimpleRotor
21459_a9de5e5b,hasMaterial,Steel
21459_a9de5e5b,belongsToFamily,simple_rotor
21459_a9de5e5b,hasComplexityLevel,Low
21459_a9de5e5b,hasTopology,Sparse
21459_a9de5e5b,hasStructure,Asymmetric
21459_a9de5e5b,hasMassCategory,LightWeight
21459_a9de5e5b,hasVolumeCategory,SmallVolume
21386_e234c6b6,rdf:type,SymmetricRotor
21386_e234c6b6,hasMaterial,Steel
21386_e234c6b6,belongsToFamily,symmetric_rotor
21386_e234c6b6,hasComplexityLevel,Medium
21386_e234c6b6,hasTopology,Moderate
21386_e234c6b6,hasStructure,Symmetric
21386_e234c6b6,hasMassCategory,MediumWeight
21386_e234c6b6,hasVolumeCategory,MediumVolume
22474_b10fea1a,rdf:type,MediumRotor
22474_b10fea1a,hasMaterial,Steel
22474_b10fea1a,belongsToFamily,medium_rotor
22474_b10fea1a,hasComplexityLevel,Medium
22474_b10fea1a,hasTopology,Moderate
22474_b10fea1a,hasStructure,Asymmetric
22474_b10fea1a,hasMassCategory,MediumWeight
22474_b10fea1a,hasVolumeCategory,MediumVolume
19051_26735260,rdf:type,HighComplexityRotor
19051_26735260,hasMaterial,Steel
19051_26735260,belongsToFamily,high_complexity_rotor
19051_26735260,hasComplexityLevel,High
19051_26735260,hasTopology,Dense
19051_26735260,hasStructure,Asymmetric
19051_26735260,hasMassCategory,MediumWeight
19051_26735260,hasVolumeCategory,MediumVolume
20332_0c2a24aa,rdf:type,SimpleRotor
20332_0c2a24aa,hasMaterial,Steel
20332_0c2a24aa,belongsToFamily,simple_rotor
20332_0c2a24aa,hasComplexityLevel,Low
20332_0c2a24aa,hasTopology,Sparse
20332_0c2a24aa,hasStructure,Asymmetric
20332_0c2a24aa,hasMassCategory,LightWeight
20332_0c2a24aa,hasVolumeCategory,SmallVolume
20807_88c198d5,rdf:type,SimpleRotor
20807_88c198d5,hasMaterial,Steel
20807_88c198d5,belongsToFamily,simple_rotor
20807_88c198d5,hasComplexityLevel,Low
20807_88c198d5,hasTopology,Sparse
20807_88c198d5,hasStructure,Symmetric
20807_88c198d5,hasMassCategory,MediumWeight
20807_88c198d5,hasVolumeCategory,MediumVolume
21825_ce32b0a0,rdf:type,SimpleRotor
21825_ce32b0a0,hasMaterial,Steel
21825_ce32b0a0,belongsToFamily,simple_rotor
21825_ce32b0a0,hasComplexityLevel,Low
21825_ce32b0a0,hasTopology,Sparse
21825_ce32b0a0,hasStructure,Symmetric
21825_ce32b0a0,hasMassCategory,LightWeight
21825_ce32b0a0,hasVolumeCategory,SmallVolume
23366_cc0bc28e,rdf:type,MediumRotor
23366_cc0bc28e,hasMaterial,Steel
23366_cc0bc28e,belongsToFamily,medium_rotor
23366_cc0bc28e,hasComplexityLevel,Medium
23366_cc0bc28e,hasTopology,Sparse
23366_cc0bc28e,hasStructure,Asymmetric
23366_cc0bc28e,hasMassCategory,LightWeight
23366_cc0bc28e,hasVolumeCategory,MediumVolume
22136_a539c50b,rdf:type,SimpleRotor
22136_a539c50b,hasMaterial,Steel
22136_a539c50b,belongsToFamily,simple_rotor
22136_a539c50b,hasComplexityLevel,Low
22136_a539c50b,hasTopology,Sparse
22136_a539c50b,hasStructure,Symmetric
22136_a539c50b,hasMassCategory,LightWeight
22136_a539c50b,hasVolumeCategory,SmallVolume
20414_a33bd0d7,rdf:type,MediumRotor
20414_a33bd0d7,hasMaterial,Steel
20414_a33bd0d7,belongsToFamily,medium_rotor
20414_a33bd0d7,hasComplexityLevel,Medium
20414_a33bd0d7,hasTopology,Sparse
20414_a33bd0d7,hasStructure,Asymmetric
20414_a33bd0d7,hasMassCategory,MediumWeight
20414_a33bd0d7,hasVolumeCategory,MediumVolume
22196_0deb2e34,rdf:type,MediumRotor
22196_0deb2e34,hasMaterial,Plastic
22196_0deb2e34,belongsToFamily,medium_rotor
22196_0deb2e34,hasComplexityLevel,Medium
22196_0deb2e34,hasTopology,Moderate
22196_0deb2e34,hasStructure,Asymmetric
22196_0deb2e34,hasMassCategory,LightWeight
22196_0deb2e34,hasVolumeCategory,SmallVolume
23273_8f301ce3,rdf:type,ComplexAssembly
23273_8f301ce3,hasMaterial,Steel
23273_8f301ce3,belongsToFamily,complex_assembly
23273_8f301ce3,hasComplexityLevel,High
23273_8f301ce3,hasTopology,Dense
23273_8f301ce3,hasStructure,Symmetric
23273_8f301ce3,hasMassCategory,MediumWeight
23273_8f301ce3,hasVolumeCategory,MediumVolume
21063_037107dc,rdf:type,HighComplexityRotor
21063_037107dc,hasMaterial,Steel
21063_037107dc,belongsToFamily,high_complexity_rotor
21063_037107dc,hasComplexityLevel,High
21063_037107dc,hasTopology,Dense
21063_037107dc,hasStructure,Asymmetric
21063_037107dc,hasMassCategory,LightWeight
21063_037107dc,hasVolumeCategory,SmallVolume
23351_6104d55d,rdf:type,SimpleRotor
23351_6104d55d,hasMaterial,Steel
23351_6104d55d,belongsToFamily,simple_rotor
23351_6104d55d,hasComplexityLevel,Low
23351_6104d55d,hasTopology,Sparse
23351_6104d55d,hasStructure,Asymmetric
23351_6104d55d,hasMassCategory,MediumWeight
23351_6104d55d,hasVolumeCategory,MediumVolume
21236_b696e901,rdf:type,ComplexAssembly
21236_b696e901,hasMaterial,Steel
21236_b696e901,belongsToFamily,complex_assembly
21236_b696e901,hasComplexityLevel,High
21236_b696e901,hasTopology,Dense
21236_b696e901,hasStructure,Asymmetric
21236_b696e901,hasMassCategory,MediumWeight
21236_b696e901,hasVolumeCategory,MediumVolume
23321_c9497b79,rdf:type,SimpleRotor
23321_c9497b79,hasMaterial,Steel
23321_c9497b79,belongsToFamily,simple_rotor
23321_c9497b79,hasComplexityLevel,Low
23321_c9497b79,hasTopology,Sparse
23321_c9497b79,hasStructure,Asymmetric
23321_c9497b79,hasMassCategory,MediumWeight
23321_c9497b79,hasVolumeCategory,MediumVolume
21351_675c66b1,rdf:type,ComplexAssembly
21351_675c66b1,hasMaterial,Steel
21351_675c66b1,belongsToFamily,complex_assembly
21351_675c66b1,hasComplexityLevel,High
21351_675c66b1,hasTopology,Dense
21351_675c66b1,hasStructure,Asymmetric
21351_675c66b1,hasMassCategory,HeavyWeight
21351_675c66b1,hasVolumeCategory,LargeVolume
20675_66ac9773,rdf:type,HighComplexityRotor
20675_66ac9773,hasMaterial,Steel
20675_66ac9773,belongsToFamily,high_complexity_rotor
20675_66ac9773,hasComplexityLevel,High
20675_66ac9773,hasTopology,Dense
20675_66ac9773,hasStructure,Symmetric
20675_66ac9773,hasMassCategory,HeavyWeight
20675_66ac9773,hasVolumeCategory,LargeVolume
23238_3c864758,rdf:type,MediumRotor
23238_3c864758,hasMaterial,Steel
23238_3c864758,belongsToFamily,medium_rotor
23238_3c864758,hasComplexityLevel,Medium
23238_3c864758,hasTopology,Sparse
23238_3c864758,hasStructure,Asymmetric
23238_3c864758,hasMassCategory,HeavyWeight
23238_3c864758,hasVolumeCategory,MediumVolume
20193_2da4f0a0,rdf:type,SimpleRotor
20193_2da4f0a0,hasMaterial,Steel
20193_2da4f0a0,belongsToFamily,simple_rotor
20193_2da4f0a0,hasComplexityLevel,Low
20193_2da4f0a0,hasTopology,Sparse
20193_2da4f0a0,hasStructure,Asymmetric
20193_2da4f0a0,hasMassCategory,MediumWeight
20193_2da4f0a0,hasVolumeCategory,MediumVolume
23473_1dfa6e40,rdf:type,MediumRotor
23473_1dfa6e40,hasMaterial,Steel
23473_1dfa6e40,belongsToFamily,medium_rotor
23473_1dfa6e40,hasComplexityLevel,Medium
23473_1dfa6e40,hasTopology,Moderate
23473_1dfa6e40,hasStructure,Asymmetric
23473_1dfa6e40,hasMassCategory,LightWeight
23473_1dfa6e40,hasVolumeCategory,SmallVolume
21709_4dd88551,rdf:type,HighComplexityRotor
21709_4dd88551,hasMaterial,Steel
21709_4dd88551,belongsToFamily,high_complexity_rotor
21709_4dd88551,hasComplexityLevel,High
21709_4dd88551,hasTopology,Dense
21709_4dd88551,hasStructure,Symmetric
21709_4dd88551,hasMassCategory,MediumWeight
21709_4dd88551,hasVolumeCategory,MediumVolume
20646_4cd14a72,rdf:type,SimpleRotor
20646_4cd14a72,hasMaterial,Steel
20646_4cd14a72,belongsToFamily,simple_rotor
20646_4cd14a72,hasComplexityLevel,Low
20646_4cd14a72,hasTopology,Sparse
20646_4cd14a72,hasStructure,Asymmetric
20646_4cd14a72,hasMassCategory,LightWeight
20646_4cd14a72,hasVolumeCategory,SmallVolume
21588_0c48dc5f,rdf:type,SimpleRotor
21588_0c48dc5f,hasMaterial,Steel
21588_0c48dc5f,belongsToFamily,simple_rotor
21588_0c48dc5f,hasComplexityLevel,Low
21588_0c48dc5f,hasTopology,Sparse
21588_0c48dc5f,hasStructure,Asymmetric
21588_0c48dc5f,hasMassCategory,MediumWeight
21588_0c48dc5f,hasVolumeCategory,MediumVolume
23377_690165aa,rdf:type,HighComplexityRotor
23377_690165aa,hasMaterial,Steel
23377_690165aa,belongsToFamily,high_complexity_rotor
23377_690165aa,hasComplexityLevel,High
23377_690165aa,hasTopology,Dense
23377_690165aa,hasStructure,Symmetric
23377_690165aa,hasMassCategory,LightWeight
23377_690165aa,hasVolumeCategory,SmallVolume
23468_a0bfb573,rdf:type,SymmetricRotor
23468_a0bfb573,hasMaterial,Steel
23468_a0bfb573,belongsToFamily,symmetric_rotor
23468_a0bfb573,hasComplexityLevel,Medium
23468_a0bfb573,hasTopology,Moderate
23468_a0bfb573,hasStructure,Symmetric
23468_a0bfb573,hasMassCategory,LightWeight
23468_a0bfb573,hasVolumeCategory,SmallVolume
20468_1c33550a,rdf:type,SimpleRotor
20468_1c33550a,hasMaterial,Steel
20468_1c33550a,belongsToFamily,simple_rotor
20468_1c33550a,hasComplexityLevel,Low
20468_1c33550a,hasTopology,Sparse
20468_1c33550a,hasStructure,Asymmetric
20468_1c33550a,hasMassCategory,LightWeight
20468_1c33550a,hasVolumeCategory,MediumVolume
21176_b5c72bfb,rdf:type,SymmetricRotor
21176_b5c72bfb,hasMaterial,Wood
21176_b5c72bfb,belongsToFamily,symmetric_rotor
21176_b5c72bfb,hasComplexityLevel,Medium
21176_b5c72bfb,hasTopology,Moderate
21176_b5c72bfb,hasStructure,Symmetric
21176_b5c72bfb,hasMassCategory,MediumWeight
21176_b5c72bfb,hasVolumeCategory,LargeVolume
23252_ef165bed,rdf:type,MediumRotor
23252_ef165bed,hasMaterial,Steel
23252_ef165bed,belongsToFamily,medium_rotor
23252_ef165bed,hasComplexityLevel,Medium
23252_ef165bed,hasTopology,Moderate
23252_ef165bed,hasStructure,Asymmetric
23252_ef165bed,hasMassCategory,LightWeight
23252_ef165bed,hasVolumeCategory,SmallVolume
21164_de08f61e,rdf:type,MediumRotor
21164_de08f61e,hasMaterial,OtherEngineeringMaterial
21164_de08f61e,belongsToFamily,medium_rotor
21164_de08f61e,hasComplexityLevel,Medium
21164_de08f61e,hasTopology,Moderate
21164_de08f61e,hasStructure,Asymmetric
21164_de08f61e,hasMassCategory,MediumWeight
21164_de08f61e,hasVolumeCategory,MediumVolume
20789_1809f41f,rdf:type,MediumRotor
20789_1809f41f,hasMaterial,Aluminum
20789_1809f41f,belongsToFamily,medium_rotor
20789_1809f41f,hasComplexityLevel,Medium
20789_1809f41f,hasTopology,Moderate
20789_1809f41f,hasStructure,Asymmetric
20789_1809f41f,hasMassCategory,HeavyWeight
20789_1809f41f,hasVolumeCategory,LargeVolume
22197_66c5655e,rdf:type,MediumRotor
22197_66c5655e,hasMaterial,Plastic
22197_66c5655e,belongsToFamily,medium_rotor
22197_66c5655e,hasComplexityLevel,Medium
22197_66c5655e,hasTopology,Moderate
22197_66c5655e,hasStructure,Asymmetric
22197_66c5655e,hasMassCategory,LightWeight
22197_66c5655e,hasVolumeCategory,MediumVolume
21352_c1101acb,rdf:type,HighComplexityRotor
21352_c1101acb,hasMaterial,Steel
21352_c1101acb,belongsToFamily,high_complexity_rotor
21352_c1101acb,hasComplexityLevel,High
21352_c1101acb,hasTopology,Dense
21352_c1101acb,hasStructure,Symmetric
21352_c1101acb,hasMassCategory,HeavyWeight
21352_c1101acb,hasVolumeCategory,LargeVolume
22376_3ebc82a2,rdf:type,MediumRotor
22376_3ebc82a2,hasMaterial,Steel
22376_3ebc82a2,belongsToFamily,medium_rotor
22376_3ebc82a2,hasComplexityLevel,Medium
22376_3ebc82a2,hasTopology,Moderate
22376_3ebc82a2,hasStructure,Asymmetric
22376_3ebc82a2,hasMassCategory,MediumWeight
22376_3ebc82a2,hasVolumeCategory,MediumVolume
20502_58b65de9,rdf:type,SymmetricRotor
20502_58b65de9,hasMaterial,Steel
20502_58b65de9,belongsToFamily,symmetric_rotor
20502_58b65de9,hasComplexityLevel,Medium
20502_58b65de9,hasTopology,Moderate
20502_58b65de9,hasStructure,Symmetric
20502_58b65de9,hasMassCategory,MediumWeight
20502_58b65de9,hasVolumeCategory,MediumVolume
21153_a2fb81fe,rdf:type,HighComplexityRotor
21153_a2fb81fe,hasMaterial,Steel
21153_a2fb81fe,belongsToFamily,high_complexity_rotor
21153_a2fb81fe,hasComplexityLevel,High
21153_a2fb81fe,hasTopology,Dense
21153_a2fb81fe,hasStructure,Asymmetric
21153_a2fb81fe,hasMassCategory,HeavyWeight
21153_a2fb81fe,hasVolumeCategory,LargeVolume
20409_dafedec6,rdf:type,SimpleRotor
20409_dafedec6,hasMaterial,OtherEngineeringMaterial
20409_dafedec6,belongsToFamily,simple_rotor
20409_dafedec6,hasComplexityLevel,Low
20409_dafedec6,hasTopology,Sparse
20409_dafedec6,hasStructure,Asymmetric
20409_dafedec6,hasMassCategory,LightWeight
20409_dafedec6,hasVolumeCategory,SmallVolume
21492_8bd34fc1,rdf:type,ComplexAssembly
21492_8bd34fc1,hasMaterial,Steel
21492_8bd34fc1,belongsToFamily,complex_assembly
21492_8bd34fc1,hasComplexityLevel,High
21492_8bd34fc1,hasTopology,Dense
21492_8bd34fc1,hasStructure,Symmetric
21492_8bd34fc1,hasMassCategory,MediumWeight
21492_8bd34fc1,hasVolumeCategory,MediumVolume
20622_38dd90d0,rdf:type,HighComplexityRotor
20622_38dd90d0,hasMaterial,Steel
20622_38dd90d0,belongsToFamily,high_complexity_rotor
20622_38dd90d0,hasComplexityLevel,High
20622_38dd90d0,hasTopology,Dense
20622_38dd90d0,hasStructure,Asymmetric
20622_38dd90d0,hasMassCategory,MediumWeight
20622_38dd90d0,hasVolumeCategory,MediumVolume
22428_c1ffa51a,rdf:type,HighComplexityRotor
22428_c1ffa51a,hasMaterial,Steel
22428_c1ffa51a,belongsToFamily,high_complexity_rotor
22428_c1ffa51a,hasComplexityLevel,High
22428_c1ffa51a,hasTopology,Dense
22428_c1ffa51a,hasStructure,Symmetric
22428_c1ffa51a,hasMassCategory,LightWeight
22428_c1ffa51a,hasVolumeCategory,MediumVolume
21047_60d69af3,rdf:type,SimpleRotor
21047_60d69af3,hasMaterial,Steel
21047_60d69af3,belongsToFamily,simple_rotor
