assembly_name,neighbor_1,sim_1,neighbor_2,sim_2,neighbor_3,sim_3,neighbor_4,sim_4,neighbor_5,sim_5
21825_ce32b0a0,20989_885bd9b9,0.999996,20216_89b90993,0.999982,20731_fbdc7731,0.999978,22508_6bb410af,0.99996,20822_5bb36119,0.999957
23366_cc0bc28e,21634_e5e20375,0.999994,22891_b8c84495,0.999985,20743_c8ea8159,0.999984,20813_726b2714,0.999983,21051_5d118b91,0.999978
22136_a539c50b,21862_ec534e16,0.999999,20451_557fe5cd,0.999979,20451_84d8b290,0.999979,22047_5a090f16,0.999804,21692_777db9e2,0.999509
20414_a33bd0d7,22066_308cdcfe,0.999995,20849_9821b6fe,0.999988,23435_e1c96b4d,0.999981,22577_cd96733e,0.999975,22313_3a8b93dc,0.999973
22196_0deb2e34,22196_e5bf8c9d,0.999989,22197_66c5655e,0.999987,22197_94c66357,0.999817,20779_fc5a7c3d,0.999769,20421_49bd1188,0.99974
23273_8f301ce3,21797_69df08d5,0.999385,20818_098cad7c,0.99908,20279_aed6b3b3,0.998528,22306_c3dca308,0.998015,22211_b1ee53f0,0.997932
21063_037107dc,23048_8a1a5553,0.997043,23156_7788f78a,0.985309,23161_e7f63a9f,0.981879,20586_cbec2689,0.9801,23414_f7d4a688,0.978834
23351_6104d55d,20947_115d4058,1.0,20342_c140780b,0.999999,21495_ebbbd369,0.999999,22261_6efe61e3,0.999999,20838_86c931be,0.999998
21236_b696e901,21421_fb12b69b,0.985337,21244_24c3ce72,0.981788,21244_d67bbabc,0.980307,22430_c6f08b03,0.972112,20952_b8a54213,0.963984
23321_c9497b79,22131_6b4b60f8,0.999983,21976_807c9b26,0.999894,22043_041e1b7c,0.999828,23236_d5867507,0.999683,23372_4cb88567,0.999639
21351_675c66b1,21941_1a683ec2,0.98876,22242_4ceddc2b,0.98809,23282_a1b17daa,0.980449,23226_8d1b5098,0.979428,22666_bdaa1303,0.977996
20675_66ac9773,20799_213bf924,0.998703,22415_658c81dd,0.979227,20546_87dbd755,0.970178,21647_6b6cca6f,0.958807,22125_e3a4cad4,0.955548
23238_3c864758,23409_e27e3b8b,0.999992,22345_bc482c26,0.999983,22074_c0265b0d,0.999979,21600_0027c6fc,0.999975,23505_161e8ec5,0.99997
20193_2da4f0a0,20814_5a2be0fb,0.999994,20802_802b7d69,0.999993,20994_9c88b1ba,0.999993,20341_6a1588fb,0.999992,20340_86125547,0.999991
23473_1dfa6e40,23121_cbdf3ebc,0.999957,23036_7f9d143f,0.999641,23501_6c48b3c1,0.999592,20431_27e7f151,0.999423,23475_b14d1dc8,0.999404
21709_4dd88551,23233_ac09e2e5,0.999854,21697_06656699,0.999589,23309_76dcf100,0.999291,22652_dc7405ef,0.998804,21511_d07c59c2,0.998759
20646_4cd14a72,20647_cea2e07c,0.999995,22981_93f268ae,0.999957,21326_ab4d6c43,0.999948,21625_d5d4c9a7,0.999929,20285_b64b1a7e,0.99989
21588_0c48dc5f,20495_e8e7e80c,0.99997,22378_234fea2c,0.999945,22981_93f268ae,0.999918,21625_d5d4c9a7,0.999911,20647_cea2e07c,0.999873
23377_690165aa,21300_ec7da33e,0.999801,21134_7aa7cd89,0.999521,22027_11a2e852,0.99946,23217_7c6062e3,0.999373,22421_19401bdd,0.999272
23468_a0bfb573,21511_d07c59c2,0.999714,7780_6c885e81,0.99969,22654_4c426b0f,0.999627,19596_fb9531a5,0.999465,22399_97987ada,0.999448
20468_1c33550a,22843_ff77027f,0.999998,21140_8d150c65,0.999998,21581_8f948e0b,0.999996,22843_cb38a007,0.999996,21781_5985da6d,0.999995
21176_b5c72bfb,23221_42f37ae3,0.999949,22259_613f9d44,0.999925,22050_e8702dd4,0.999912,21467_67965037,0.999891,23127_38d73061,0.999847
23252_ef165bed,20657_913a7675,0.999703,23480_3f7a8d50,0.999399,23045_a8c4e4bc,0.999307,22334_677d00e0,0.999247,22251_88fd728c,0.998397
21164_de08f61e,21979_29f59427,0.998836,22630_b6010fff,0.997884,21028_d4d30a2e,0.997473,20701_6dcbc975,0.996925,22376_3ebc82a2,0.995494
20789_1809f41f,21292_f94bd96b,0.999935,20421_83f66ddc,0.999932,21737_87d83240,0.999922,21224_18ba4aba,0.999849,22073_951645ae,0.999833
22197_66c5655e,22196_e5bf8c9d,0.999991,22196_0deb2e34,0.999987,22197_94c66357,0.999852,20421_49bd1188,0.999815,20779_fc5a7c3d,0.999795
21352_c1101acb,21845_dff8b3a1,0.999789,20643_71ad3d26,0.999787,22417_4a15d62e,0.999785,21843_effbd24d,0.999771,21511_d07c59c2,0.999738
22376_3ebc82a2,21621_711e1918,0.999263,21790_aaf9224a,0.998245,22832_731d3b9f,0.99817,20163_3742f394,0.997836,22987_37973191,0.997678
20502_58b65de9,22414_14ead4a3,0.999384,22652_dc7405ef,0.999284,22638_37f9fe91,0.999274,21836_5bc91e49,0.999143,22654_4c426b0f,0.99879
21153_a2fb81fe,23130_7417d5b3,0.999704,21425_d0d47a2a,0.999409,21035_d308c5c4,0.999181,22900_09de4c7a,0.999162,23502_5a80f907,0.998943
20409_dafedec6,20429_4c909f3f,0.999997,22178_976d2411,0.999996,23163_7b143a6f,0.999995,16550_e88d6986,0.999995,23199_75dc1efd,0.999995
21492_8bd34fc1,21722_68aeba65,0.994446,22028_776fbf0d,0.963299,22306_c3dca308,0.949146,23419_ea47995f,0.946555,23273_8f301ce3,0.946361
20622_38dd90d0,22081_ab3124af,0.99856,22827_f33929ec,0.997765,22528_f3370a64,0.997173,22193_c8773ded,0.996563,23002_4d53fb3f,0.996359
22428_c1ffa51a,23378_8d6426ae,0.999227,21924_bbd9f7a9,0.998924,21685_93737a7a,0.998844,22278_12f1fb79,0.997761,20245_f1b25d43,0.997458
21047_60d69af3,22907_ff18dbd5,1.0,20385_f2d30908,1.0,22668_9c30f6c0,0.999999,22902_83870421,0.999998,20741_c337946f,0.999997
23215_08a54de0,22227_aca28ff2,0.999999,20193_2da4f0a0,0.999981,22862_f5406bb0,0.999973,20341_6a1588fb,0.999962,20814_5a2be0fb,0.999962
20680_b095cb77,22365_a4eb929c,0.999984,23259_d655fcc1,0.999968,21828_21ab2114,0.999929,21840_6847d36c,0.999883,22761_ca309655,0.99986
23130_7417d5b3,21153_a2fb81fe,0.999704,22900_09de4c7a,0.999289,21425_d0d47a2a,0.999222,23502_5a80f907,0.99919,21541_abc67be6,0.999161
22193_c8773ded,22827_f33929ec,0.999212,21093_1bda9bbe,0.997258,20765_99d0665e,0.997112,20622_38dd90d0,0.996563,22910_97f0cc18,0.996328
20735_fb18051a,20389_c835706f,0.999766,20858_15bdad00,0.999553,23045_a8c4e4bc,0.99867,21541_abc67be6,0.99827,23475_b14d1dc8,0.998226
20989_885bd9b9,21825_ce32b0a0,0.999996,20216_89b90993,0.999981,20731_fbdc7731,0.99997,22508_6bb410af,0.99995,23103_43bde2a6,0.999946
20927_826f4b56,20426_79358492,0.999999,20466_4b3e5186,0.999998,20429_4c909f3f,0.999995,20376_eefa9511,0.999993,21267_35a558cc,0.999993
21719_d60b8a4a,22448_1f21757a,0.999853,21550_0b16151d,0.999825,21390_4d1e2d9c,0.999806,20788_d25efea2,0.999806,21779_b99623fc,0.999794
21776_fb0bfbc6,22135_2aa77ff2,0.999962,22014_5880c417,0.999941,21882_795be793,0.99993,23096_7da0f913,0.999928,20910_c64b5d1b,0.999927
23372_4cb88567,22218_2f85f6ae,0.999939,21529_93e51dd9,0.999937,20554_abcb705e,0.999869,20504_c9e14c9d,0.999838,23236_d5867507,0.999795
22895_4533b542,21175_85118898,0.999991,23369_447545f6,0.999991,22074_c0265b0d,0.999988,21793_4ad5e2c0,0.999984,23103_66470b7e,0.999983
20870_dedaef5b,21352_d60bc953,0.985009,23376_9b48819a,0.984417,21450_ea24ffcc,0.979375,21718_1551037b,0.971807,21926_b4c7068b,0.962305
22399_97987ada,21828_21ab2114,0.999947,22706_58a933f4,0.999909,22365_a4eb929c,0.999899,23259_d655fcc1,0.99985,20680_b095cb77,0.99984
20376_eefa9511,21267_35a558cc,1.0,20231_f54462bb,1.0,20479_77930584,1.0,21243_3ec5d732,1.0,20898_5f5b9bc7,0.999999
22180_ce7c3bd8,19518_f220b68a,0.999981,21911_429c1a72,0.99995,22747_3f6faf4c,0.999861,20646_4cd14a72,0.999822,21015_10304cb9,0.999816
20421_49bd1188,23028_2ca87745,0.999899,22196_e5bf8c9d,0.999816,22197_66c5655e,0.999815,21008_a3fec63b,0.999807,20779_fc5a7c3d,0.999775
20530_2246503a,20823_f144e996,0.999905,21779_b99623fc,0.999899,20788_d25efea2,0.99989,22448_1f21757a,0.999829,23417_9a9e9937,0.999796
20815_b3d9e6c9,20817_ef63b1a7,0.999993,23035_6087bb57,0.999969,21358_a69a36f3,0.99992,23152_6f2706c9,0.99988,21817_945cd3c9,0.999877
21809_8bd6b10e,19051_26735260,0.999384,21024_9be3d461,0.997356,20701_6dcbc975,0.995824,21762_90d34d16,0.995735,20293_a1999339,0.995529
22210_649a5363,23406_1d36b046,1.0,21610_5dcf1187,0.999994,21615_f2ecc6e8,0.999994,21616_c6c3347a,0.999994,21140_8d150c65,0.999994
23195_2629864e,22413_901f5867,0.994725,22298_51433023,0.992878,22533_e7298b05,0.991761,23271_f833d903,0.991517,23144_88ca00a5,0.989876
22827_f33929ec,22193_c8773ded,0.999212,20765_99d0665e,0.998192,22910_97f0cc18,0.998078,20622_38dd90d0,0.997765,22081_ab3124af,0.997582
20745_3e22ad07,20737_5249e274,0.996252,23258_87a2ba81,0.994274,23310_7daded69,0.988144,21204_96d26a7f,0.982266,22717_08784417,0.971219
21779_b99623fc,20788_d25efea2,0.99999,22448_1f21757a,0.999984,23417_9a9e9937,0.999938,21390_4d1e2d9c,0.999936,23043_c0827516,0.999923
20212_5d1f2de1,20812_462bd352,0.999994,20468_1c33550a,0.999992,21140_8d150c65,0.999991,21617_ddd3657b,0.999987,21614_5d6afa62,0.999987
21550_0b16151d,23043_c0827516,0.999943,22448_1f21757a,0.999917,20788_d25efea2,0.999896,21779_b99623fc,0.999873,21719_d60b8a4a,0.999825
23209_1592b0a4,23210_f535bfd2,0.999978,20232_e5b060d9,0.999943,23219_40625e2c,0.999875,23245_ccd099b6,0.999869,22270_c6999138,0.999852
22498_b8bdb105,21495_ebbbd369,0.999996,20947_115d4058,0.999996,22844_9b75b8e0,0.999996,23351_6104d55d,0.999996,23022_86e6a8a0,0.999995
23380_abffc859,23120_f7c9092f,0.997925,23026_e6f08109,0.997455,23414_f7d4a688,0.997419,23161_e7f63a9f,0.997183,23251_3eb3d2e6,0.996813
20389_c835706f,20858_15bdad00,0.999863,20735_fb18051a,0.999766,23045_a8c4e4bc,0.999303,23475_b14d1dc8,0.99923,23480_3f7a8d50,0.998489
21429_6d2d3974,22334_677d00e0,0.999637,22251_88fd728c,0.999434,23026_e6f08109,0.99943,23283_fadf3820,0.999252,23379_636204a6,0.999234
21843_effbd24d,21081_72fa4ad1,0.999883,21845_dff8b3a1,0.999882,21121_1e9e7540,0.999786,20643_71ad3d26,0.999786,22417_4a15d62e,0.999776
23439_18900af2,22746_920025a0,0.999998,23239_ba13cf5e,0.999998,20801_0796e2ee,0.999991,21690_5d1f3475,0.999991,22732_cd2af0ac,0.999987
21737_87d83240,22073_951645ae,0.999976,20421_83f66ddc,0.999963,21292_f94bd96b,0.999943,20285_b64b1a7e,0.999938,21224_18ba4aba,0.999937
21496_f4025ad5,21453_679a343c,0.999611,21165_5cb2d287,0.998545,21281_6e562106,0.993997,22727_c514268a,0.993894,21884_cc2c39f9,0.993878
22053_de30641b,23244_34b5f55e,0.999761,20940_9777847c,0.99975,23218_02d26ab4,0.99969,22043_041e1b7c,0.999556,23219_40625e2c,0.999442
22891_b8c84495,20813_726b2714,0.999999,21715_53df62c9,0.999997,21634_e5e20375,0.999995,21051_5d118b91,0.999993,21573_31a18ad0,0.999985
21390_4d1e2d9c,22448_1f21757a,0.999962,20788_d25efea2,0.999948,21779_b99623fc,0.999936,23417_9a9e9937,0.999924,23043_c0827516,0.999906
22378_234fea2c,21588_0c48dc5f,0.999945,22981_93f268ae,0.999937,20495_e8e7e80c,0.999849,20646_4cd14a72,0.999833,20647_cea2e07c,0.99983
22659_0e686e14,22812_cf865ed1,0.999915,21958_e48ddf4e,0.999907,21386_e234c6b6,0.9999,23037_d0df320c,0.999891,22561_067b78ae,0.999852
22304_33009be6,20807_88c198d5,0.999894,21665_2e14b6ff,0.99987,23103_43bde2a6,0.999862,20429_419c4cdd,0.999852,20989_a261efa3,0.999848
20765_99d0665e,22910_97f0cc18,0.999047,22827_f33929ec,0.998192,22081_ab3124af,0.998184,22193_c8773ded,0.997112,22528_f3370a64,0.996893
23422_f214bd4d,20351_dc6e4e1e,0.989574,22483_f4e4b62a,0.987114,7778_3a9748b3,0.986807,22076_20e8a107,0.978626,22492_047b125b,0.973811
23343_f000bdae,20672_0bc07cce,0.999999,23442_28996649,0.999997,20376_eefa9511,0.999996,21267_35a558cc,0.999996,20231_f54462bb,0.999996
23161_e7f63a9f,23156_7788f78a,0.999539,23414_f7d4a688,0.998713,23495_6366269c,0.998405,23251_3eb3d2e6,0.997224,23380_abffc859,0.997183
22011_0832eefe,21626_b34008e6,0.999739,21745_56cbe841,0.999483,23176_1bf2a2d5,0.999483,22534_e899f645,0.999389,20141_b9376856,0.999182
22214_b098105d,21391_78fc6345,0.999891,22078_1758e9fc,0.99982,23341_d5ead6d2,0.999799,22067_624b28e3,0.99979,22681_124bf3a9,0.999779
22046_fe3bae6e,20278_d442e77d,0.996952,22085_e039a7d3,0.992534,23044_9a964a68,0.991573,23282_a1b17daa,0.986026,22666_bdaa1303,0.985767
23204_ff1672a9,20636_ca9eb29a,0.995516,22076_20e8a107,0.994319,22492_047b125b,0.993202,21741_c6faf98e,0.991473,20430_975b8dcf,0.989038
21529_93e51dd9,20554_abcb705e,0.999979,23372_4cb88567,0.999937,20504_c9e14c9d,0.99991,22218_2f85f6ae,0.999816,22837_7644c972,0.999742
20429_419c4cdd,21665_2e14b6ff,0.99999,20807_88c198d5,0.999971,23103_43bde2a6,0.999957,20989_a261efa3,0.999939,20989_885bd9b9,0.999876
20241_8c0d3f83,20241_ccb70dc8,1.0,21422_b2a6bf27,0.999998,20332_0c2a24aa,0.999995,20994_9c88b1ba,0.999994,20340_86125547,0.999994
20440_27177360,21858_f1409ea2,0.999894,21503_34f299ca,0.999706,21365_ab403591,0.999655,23331_192866b6,0.999647,20239_49b65a55,0.999645
20554_abcb705e,21529_93e51dd9,0.999979,20504_c9e14c9d,0.999914,23372_4cb88567,0.999869,22837_7644c972,0.999856,23342_7193a931,0.999697
22135_2aa77ff2,22133_465d7a91,0.999985,20478_c02790cb,0.999974,20671_33532794,0.999967,21776_fb0bfbc6,0.999962,22014_5880c417,0.999961
21204_96d26a7f,23310_7daded69,0.996641,20279_aed6b3b3,0.995031,21685_93737a7a,0.99387,22428_c1ffa51a,0.993684,21805_2ba39d00,0.993643
22259_613f9d44,21467_67965037,0.99998,21176_b5c72bfb,0.999925,23221_42f37ae3,0.99991,22050_e8702dd4,0.999859,20970_d20c6c35,0.999784
20520_7e357152,22134_5e72e871,0.999994,23308_245d257c,0.999989,21563_c72d37a2,0.999959,22383_e5f707a7,0.999954,21566_ff590631,0.999939
20802_802b7d69,20814_5a2be0fb,0.999999,20341_6a1588fb,0.999998,20803_473c87ac,0.999995,22374_aa5bb54d,0.999994,20193_2da4f0a0,0.999993
20392_8b23d193,22142_7891a26a,1.0,20804_0dcacc66,0.999999,21139_cd619b26,0.999999,21119_4f5c95a6,0.999999,22839_113f2990,0.999999
22178_976d2411,23199_75dc1efd,1.0,16550_e88d6986,0.999999,23163_7b143a6f,0.999999,22839_113f2990,0.999999,23250_aa321310,0.999999
22710_77324fc2,23214_0c411aa1,0.999969,23008_3d1bb7b2,0.999964,23172_4ab01e83,0.999952,20322_5a8c6077,0.999944,22383_e5f707a7,0.999934
20245_f1b25d43,21924_bbd9f7a9,0.999446,23154_7c74d190,0.997899,22428_c1ffa51a,0.997458,23378_8d6426ae,0.996055,21685_93737a7a,0.994997
22617_a286f13c,22418_2722dfe8,0.99997,21974_1997ebc3,0.99996,22469_9d87f800,0.999914,23417_9a9e9937,0.999909,22197_94c66357,0.999902
23233_ac09e2e5,21709_4dd88551,0.999854,21697_06656699,0.999838,21511_d07c59c2,0.999371,23467_9f431540,0.999305,22652_dc7405ef,0.999134
21469_abec26c4,23265_07de6a0b,0.999985,23341_d5ead6d2,0.999985,20186_f66e4ad3,0.999942,22224_1e749c32,0.999941,21391_78fc6345,0.999932
22413_901f5867,23271_f833d903,0.997077,23235_f9ccb8b0,0.99557,23195_2629864e,0.994725,22670_9353c710,0.992828,22079_31335df2,0.983363
22061_b50b6b66,20285_b64b1a7e,0.999937,20421_83f66ddc,0.999914,22073_951645ae,0.999904,21737_87d83240,0.999904,23342_7193a931,0.999898
23475_b14d1dc8,23121_cbdf3ebc,0.99968,23480_3f7a8d50,0.999499,23473_1dfa6e40,0.999404,23045_a8c4e4bc,0.999386,20389_c835706f,0.99923
20787_ed64ff5e,23123_f35404c4,0.999536,23226_8d1b5098,0.997662,21545_4384f96e,0.99756,22581_406c16c4,0.997525,21986_67c5509a,0.996882
20746_57a7b346,21926_b4c7068b,0.976144,20351_dc6e4e1e,0.962854,20246_40be7668,0.958226,20533_0a3e112b,0.957746,23376_9b48819a,0.952443
23219_40625e2c,22270_c6999138,0.999961,23210_f535bfd2,0.999917,20232_e5b060d9,0.999877,23209_1592b0a4,0.999875,23323_075a079e,0.999688
22311_553b3456,21133_f9a1614e,0.999959,21840_6847d36c,0.999892,22434_2ad62ed6,0.999878,21828_21ab2114,0.999863,20680_b095cb77,0.999851
22017_6d3be48d,22082_39503fa6,0.99115,22630_b6010fff,0.990554,20319_9f53cd7c,0.989912,21028_d4d30a2e,0.988745,23162_7e2f3d77,0.988486
21091_bbf490e7,21092_32622a83,0.999519,21541_abc67be6,0.999079,21719_d60b8a4a,0.99906,21035_d308c5c4,0.999,21550_0b16151d,0.998994
23480_3f7a8d50,23045_a8c4e4bc,0.999689,20657_913a7675,0.999538,23475_b14d1dc8,0.999499,23252_ef165bed,0.999399,23121_cbdf3ebc,0.999125
20814_5a2be0fb,20341_6a1588fb,0.999999,20802_802b7d69,0.999999,22374_aa5bb54d,0.999997,20994_9c88b1ba,0.999995,20193_2da4f0a0,0.999994
22654_4c426b0f,22414_14ead4a3,0.999847,22638_37f9fe91,0.999818,23468_a0bfb573,0.999627,7780_6c885e81,0.999498,21836_5bc91e49,0.999363
21594_428d32af,23214_0c411aa1,0.999991,20322_5a8c6077,0.999982,20408_b4fda9eb,0.999969,20229_d1ae2ae3,0.999961,20676_9715ec9c,0.999946
22270_c6999138,23219_40625e2c,0.999961,23210_f535bfd2,0.999865,23209_1592b0a4,0.999852,20232_e5b060d9,0.999801,21533_8837772a,0.999734
21062_c4ed6d45,21806_616e985a,1.0,22902_83870421,0.999999,23250_aa321310,0.999998,16550_e88d6986,0.999998,23163_7b143a6f,0.999998
21816_3891a442,21552_4e9c19b1,0.999661,21626_b34008e6,0.999502,20505_017d4cc4,0.999456,21745_56cbe841,0.999402,22323_aa6edb8b,0.99934
21912_3f74887c,21528_a5d5490f,1.0,21185_ac5324ba,0.999747,23323_075a079e,0.999703,21184_971559b6,0.999698,21009_907a2a95,0.999646
22577_cd96733e,20414_a33bd0d7,0.999975,22066_308cdcfe,0.999966,23434_6635ed57,0.999965,20849_9821b6fe,0.999957,23435_e1c96b4d,0.999951
21590_7d092186,20176_a02bde39,0.998116,22440_014f1bac,0.997356,22666_bdaa1303,0.994689,22085_e039a7d3,0.993511,23123_f35404c4,0.992415
21647_6b6cca6f,22717_08784417,0.997374,20546_87dbd755,0.996661,22415_658c81dd,0.987876,23511_8651ac1f,0.976667,22125_e3a4cad4,0.971283
20342_c140780b,23351_6104d55d,0.999999,22261_6efe61e3,0.999999,20947_115d4058,0.999999,20392_8b23d193,0.999998,23403_e539620b,0.999998
21982_bdafa78d,23154_7c74d190,0.980993,23168_7fdf5427,0.979929,21990_7bb6efcf,0.979434,21300_ec7da33e,0.977924,20991_6795af4f,0.977791
20232_e5b060d9,23209_1592b0a4,0.999943,23210_f535bfd2,0.99994,23219_40625e2c,0.999877,23245_ccd099b6,0.999849,22270_c6999138,0.999801
22852_dc1dbed6,21856_f84d9348,0.992853,21423_196855d1,0.990178,23305_2662b29a,0.982352,21592_c5e77a82,0.974347,21426_51651a10,0.971071
22666_bdaa1303,22242_4ceddc2b,0.99818,23282_a1b17daa,0.998127,22440_014f1bac,0.997254,22085_e039a7d3,0.996525,21590_7d092186,0.994689
21977_ce9f4e71,22027_11a2e852,0.999514,21551_c6c2d516,0.999325,21329_1bfecd1d,0.999216,22421_19401bdd,0.999133,22894_5f7c276d,0.999093
22404_66db7dd7,21859_35124f79,0.980909,20544_43691724,0.97376,21352_d60bc953,0.956726,23376_9b48819a,0.940152,21519_3e869afd,0.939905
22374_aa5bb54d,20341_6a1588fb,0.999999,20814_5a2be0fb,0.999997,20802_802b7d69,0.999994,20803_473c87ac,0.999992,20994_9c88b1ba,0.99999
22907_ff18dbd5,21047_60d69af3,1.0,22668_9c30f6c0,0.999999,20385_f2d30908,0.999999,22902_83870421,0.999999,21806_616e985a,0.999997
20801_0796e2ee,22749_346e10ae,0.999998,22899_5b97e4f5,0.999993,23439_18900af2,0.999991,22746_920025a0,0.99999,23184_731e5af0,0.99999
