assembly_name,neighbor_1,hybrid_sim_1,neighbor_2,hybrid_sim_2,neighbor_3,hybrid_sim_3,neighbor_4,hybrid_sim_4,neighbor_5,hybrid_sim_5
20592_573e41b2,21592_c5e77a82,0.902843,23305_2662b29a,0.83039,22852_dc1dbed6,0.817293,21856_f84d9348,0.775063,21496_f4025ad5,0.665667
20609_69f28932,23320_e0711ae9,0.999964,22678_ff42f120,0.999959,22983_0ab3faaf,0.999895,23037_d0df320c,0.999876,22141_5db99710,0.999874
20620_8a5226b4,21838_5bc448b4,0.99908,21849_a5f563a6,0.99901,22893_eb8aa8ac,0.998975,22360_42cd6a21,0.998954,21174_861bd902,0.998918
20622_38dd90d0,20293_a1999339,0.99506,20500_e88d8065,0.994383,20165_2b088be5,0.986549,20260_4a01a99d,0.982397,20533_0a3e112b,0.961838
20628_e0551f7c,20329_414757bb,0.99938,20511_e1b972aa,0.999163,20387_0d507234,0.999071,20408_b4fda9eb,0.998958,20239_49b65a55,0.998537
20636_ca9eb29a,20430_975b8dcf,0.919046,21580_b8b2571b,0.911333,21991_ab98f156,0.909332,22076_20e8a107,0.908403,19051_26735260,0.907036
20643_71ad3d26,21081_72fa4ad1,0.999906,20697_d3e106b4,0.999874,21352_c1101acb,0.999872,21843_effbd24d,0.999872,21845_dff8b3a1,0.999847
20646_4cd14a72,20647_cea2e07c,0.999997,21326_ab4d6c43,0.999969,22073_951645ae,0.999916,21015_10304cb9,0.999909,21588_0c48dc5f,0.999908
20647_cea2e07c,20646_4cd14a72,0.999997,21326_ab4d6c43,0.999976,21588_0c48dc5f,0.999924,22073_951645ae,0.999913,21015_10304cb9,0.999898
20657_913a7675,23252_ef165bed,0.919822,23480_3f7a8d50,0.919723,23045_a8c4e4bc,0.919519,22334_677d00e0,0.919054,23475_b14d1dc8,0.91898
20668_b2f2633e,22402_a62e84b4,0.999283,22405_20f11d58,0.999227,21024_9be3d461,0.996503,22890_4ecfa491,0.996246,22193_c8773ded,0.995723
20671_33532794,20958_94222947,0.999886,23096_7da0f913,0.999844,21533_8837772a,0.989017,21357_9edfc0a0,0.919997,22133_465d7a91,0.919995
20672_0bc07cce,21267_35a558cc,1.0,21243_3ec5d732,0.999999,20898_5f5b9bc7,0.999999,20804_0dcacc66,0.999999,21119_4f5c95a6,0.999999
20674_2fb6cabd,22825_f4c18d65,0.999845,21274_2fb8c3f5,0.999157,22064_e1ba20dd,0.999018,23387_c4aa9424,0.999008,23339_87a4d11f,0.998922
20675_66ac9773,20799_213bf924,0.919222,23511_8651ac1f,0.875629,20745_3e22ad07,0.848218,20737_5249e274,0.831742,23258_87a2ba81,0.829962
20676_9715ec9c,22197_94c66357,0.999134,22196_e5bf8c9d,0.998769,22196_0deb2e34,0.998613,23434_6635ed57,0.919994,20322_5a8c6077,0.91998
20680_b095cb77,22365_a4eb929c,0.91999,23259_d655fcc1,0.919981,21828_21ab2114,0.919958,21840_6847d36c,0.91993,22761_ca309655,0.919916
20682_e208cc63,22892_68138f24,0.999998,22057_4947db57,0.999994,22155_ab18f2b6,0.999975,22886_a6331748,0.999959,21037_62248d34,0.999921
20688_955aae0c,21008_a3fec63b,0.995085,20505_017d4cc4,0.919891,22612_28fe0ac2,0.919871,22778_7d85debd,0.919841,23049_207a41f0,0.919827
20697_d3e106b4,20643_71ad3d26,0.999874,21081_72fa4ad1,0.999818,22421_19401bdd,0.999746,21121_1e9e7540,0.999714,21843_effbd24d,0.999684
20701_6dcbc975,21918_976c2754,0.999227,21809_8bd6b10e,0.997495,21024_9be3d461,0.996704,21153_a2fb81fe,0.992197,21762_90d34d16,0.991202
20705_ac2a0325,23442_28996649,0.999999,23006_92c5b990,0.999996,20672_0bc07cce,0.999995,23403_e539620b,0.999995,22142_7891a26a,0.999994
20722_90d46353,22987_37973191,0.919666,22832_731d3b9f,0.919528,21790_aaf9224a,0.919203,20431_27e7f151,0.919076,23501_6c48b3c1,0.918849
20731_fbdc7731,22508_6bb410af,0.999996,20822_5bb36119,0.999993,21825_ce32b0a0,0.999987,23103_43bde2a6,0.999947,21665_2e14b6ff,0.999899
20735_fb18051a,20858_15bdad00,0.999732,23045_a8c4e4bc,0.999202,23475_b14d1dc8,0.998936,23283_fadf3820,0.998805,23313_210c6783,0.998565
20737_5249e274,23310_7daded69,0.997133,21204_96d26a7f,0.995598,22428_c1ffa51a,0.987278,21924_bbd9f7a9,0.984549,21805_2ba39d00,0.984025
20741_c337946f,22653_58d6287d,1.0,21265_7329c813,0.999999,21047_60d69af3,0.999998,21761_fdb5f86d,0.999998,22907_ff18dbd5,0.999997
20743_c8ea8159,23128_cb135b1b,0.999997,21706_adfb2ece,0.999995,21377_19909a40,0.999993,22162_439af02a,0.999989,23409_e27e3b8b,0.999978
20745_3e22ad07,20245_f1b25d43,0.977587,22417_4a15d62e,0.949266,20737_5249e274,0.917751,23258_87a2ba81,0.916564,23310_7daded69,0.912887
20746_57a7b346,21926_b4c7068b,0.985686,20870_dedaef5b,0.955648,21450_ea24ffcc,0.954358,22076_20e8a107,0.953442,23053_139f2009,0.952139
20755_4b5e61bf,21858_f1409ea2,0.919673,22040_6461a147,0.91963,22035_101c7ab4,0.919629,20779_fc5a7c3d,0.919563,21365_ab403591,0.919546
20756_75f43564,20803_473c87ac,0.919993,20802_802b7d69,0.919982,20341_6a1588fb,0.919981,22374_aa5bb54d,0.919981,20814_5a2be0fb,0.919978
20758_cdccf572,21564_fa5b2db7,0.99961,21384_b9774b93,0.99959,22283_36ba29c9,0.999586,22236_db209dff,0.999486,21448_5646a1b6,0.999472
20765_99d0665e,22910_97f0cc18,0.999428,22827_f33929ec,0.998915,22081_ab3124af,0.998911,22193_c8773ded,0.998267,22528_f3370a64,0.998136
20779_fc5a7c3d,22197_66c5655e,0.919877,20421_49bd1188,0.919865,22196_0deb2e34,0.919862,22196_e5bf8c9d,0.919855,23028_2ca87745,0.919764
20787_ed64ff5e,23123_f35404c4,0.919722,23226_8d1b5098,0.918597,21545_4384f96e,0.918536,22581_406c16c4,0.918515,21986_67c5509a,0.918129
20788_d25efea2,22448_1f21757a,0.999994,21390_4d1e2d9c,0.999969,23417_9a9e9937,0.999943,21550_0b16151d,0.999937,20530_2246503a,0.999934
20789_1809f41f,21292_f94bd96b,0.919961,21224_18ba4aba,0.919909,22072_5163223a,0.919879,20892_b1f89c8d,0.91983,22059_b7d76712,0.919731
20792_d2ea0500,20990_0a226634,0.914695,23438_b1ef78f4,0.9126,22080_594bcb66,0.864612,20225_4ce6d59b,0.838019,21692_777db9e2,0.837711
20797_78b83489,23473_1dfa6e40,0.999425,23121_cbdf3ebc,0.999307,23035_6087bb57,0.999196,21358_a69a36f3,0.998993,21817_945cd3c9,0.998973
20799_213bf924,23511_8651ac1f,0.961062,20737_5249e274,0.925477,20675_66ac9773,0.919222,23310_7daded69,0.902266,22717_08784417,0.893485
20801_0796e2ee,22749_346e10ae,0.999999,22899_5b97e4f5,0.999996,23439_18900af2,0.999995,23184_731e5af0,0.999994,23239_ba13cf5e,0.999991
20802_802b7d69,20810_f6674f2d,0.999765,20814_5a2be0fb,0.919999,20341_6a1588fb,0.919999,20803_473c87ac,0.919997,22374_aa5bb54d,0.919996
20803_473c87ac,22374_aa5bb54d,0.999995,20994_9c88b1ba,0.999985,23215_08a54de0,0.999975,20951_2918f2fa,0.999962,22135_2aa77ff2,0.999953
20804_0dcacc66,21119_4f5c95a6,1.0,21139_cd619b26,1.0,22142_7891a26a,1.0,21243_3ec5d732,1.0,22839_113f2990,1.0
20806_ca60b7ae,22154_24342da4,0.999999,22129_48b47c52,0.999798,21862_ec534e16,0.999725,22136_a539c50b,0.999695,20946_6573271d,0.998996
20807_88c198d5,21665_2e14b6ff,0.99999,23103_43bde2a6,0.999965,22304_33009be6,0.999936,22140_9cda24cc,0.999933,21810_718ae2fe,0.999892
20810_f6674f2d,20802_802b7d69,0.999765,21761_fdb5f86d,0.92,20910_c64b5d1b,0.919999,21785_d595ced5,0.919999,22653_58d6287d,0.919998
20812_462bd352,21611_1d3ff1b6,0.999997,21613_d57e983a,0.999997,21617_ddd3657b,0.999997,21619_19435db0,0.999996,21573_31a18ad0,0.999996
20813_726b2714,22891_b8c84495,0.999999,21051_5d118b91,0.999997,21573_31a18ad0,0.999991,21882_795be793,0.999988,21611_1d3ff1b6,0.999985
20814_5a2be0fb,20341_6a1588fb,0.92,20802_802b7d69,0.919999,22374_aa5bb54d,0.919998,20994_9c88b1ba,0.919997,20193_2da4f0a0,0.919997
20815_b3d9e6c9,20817_ef63b1a7,0.999996,23152_6f2706c9,0.999928,23354_8182b4eb,0.999725,22681_124bf3a9,0.999643,23238_3c864758,0.99924
20817_ef63b1a7,20815_b3d9e6c9,0.999996,23152_6f2706c9,0.999957,23354_8182b4eb,0.999681,22681_124bf3a9,0.999593,23238_3c864758,0.999163
20818_098cad7c,20279_aed6b3b3,0.919728,21797_69df08d5,0.919497,20959_d4905d19,0.919224,21805_2ba39d00,0.91916,21134_7aa7cd89,0.918064
20822_5bb36119,22508_6bb410af,0.999994,20731_fbdc7731,0.999993,21825_ce32b0a0,0.999974,22236_db209dff,0.999919,23103_43bde2a6,0.999908
20823_f144e996,23213_3df3cb34,0.999962,21549_18160a0a,0.999943,20530_2246503a,0.999943,21794_4d137e7d,0.999906,20788_d25efea2,0.9999
20838_86c931be,20934_fe7fbd78,0.92,21495_ebbbd369,0.92,21630_316322ff,0.92,22844_9b75b8e0,0.919999,23351_6104d55d,0.919999
20841_1620ae7d,21184_971559b6,0.991971,22270_c6999138,0.989275,22053_de30641b,0.985434,22043_041e1b7c,0.983975,22131_6b4b60f8,0.981819
20849_9821b6fe,22066_308cdcfe,0.999995,22313_3a8b93dc,0.999979,22577_cd96733e,0.999974,23505_161e8ec5,0.999968,23434_6635ed57,0.999955
20858_15bdad00,20735_fb18051a,0.999732,23475_b14d1dc8,0.999474,23045_a8c4e4bc,0.99946,23480_3f7a8d50,0.998939,23121_cbdf3ebc,0.998812
20860_b8e9a191,21989_a0b5037d,0.898174,23120_f7c9092f,0.89054,23380_abffc859,0.88076,23379_636204a6,0.853,22251_88fd728c,0.852461
20870_dedaef5b,21450_ea24ffcc,0.987625,21926_b4c7068b,0.977383,22442_7d5c5d5f,0.960987,21656_964b0c84,0.959487,20746_57a7b346,0.955648
20892_b1f89c8d,22059_b7d76712,0.999974,21513_50fb4d62,0.99993,22045_ead71aca,0.999871,21224_18ba4aba,0.999857,22072_5163223a,0.999845
20898_5f5b9bc7,21243_3ec5d732,1.0,21119_4f5c95a6,1.0,21139_cd619b26,1.0,21267_35a558cc,1.0,22839_113f2990,1.0
20899_a8d7c6d5,20141_b9376856,0.9971,21202_e452c491,0.99438,19810_f77c5501,0.992977,20163_3742f394,0.992871,20989_d1b8b0f8,0.992671
20908_10574fbf,21848_0fff9631,0.999994,22589_2c8f7c0b,0.999994,23440_5956321f,0.999991,21793_4ad5e2c0,0.999986,22895_4533b542,0.999985
20910_c64b5d1b,20810_f6674f2d,0.919999,21761_fdb5f86d,0.919998,21785_d595ced5,0.919998,21617_ddd3657b,0.919997,21614_5d6afa62,0.919997
20925_dc64a33a,21566_ff590631,0.999987,22586_ff3651b2,0.999983,23008_3d1bb7b2,0.999943,22383_e5f707a7,0.999938,22134_5e72e871,0.999913
