assembly_name,family,component_count,body_count,edge_count,face_count,vertex_count,mass,volume,surface_area,material,complexity_ratio,rotational_symmetry,geometric_complexity,source_file
20408_b4fda9eb,medium_rotor,1,7.0,327.0,167.0,194.0,0.014325510675415345,1.824905818524248,0.0,"Steel, Mild",1.9580838323353293,0,688.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20408_b4fda9eb/assembly.json
21326_ab4d6c43,simple_rotor,6,5.0,227.0,115.0,148.0,0.018696219581248702,2.381684023089007,0.0,Steel,1.9739130434782608,0,490.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21326_ab4d6c43/assembly.json
22211_b1ee53f0,complex_assembly,22,41.0,3187.0,1227.0,2147.0,1.39189092924748,177.31094640095287,0.0,Steel,2.5973920130399346,1,6561.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22211_b1ee53f0/assembly.json
23211_3aac9c7e,simple_rotor,10,14.0,156.0,98.0,125.0,0.23394110151184686,410.2378146986235,0.0,Wood,1.5918367346938775,0,379.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23211_3aac9c7e/assembly.json
20676_9715ec9c,medium_rotor,1,12.0,406.0,192.0,231.0,0.03310190889707851,31.2282159406401,0.0,ABS Plastic,2.1145833333333335,0,829.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20676_9715ec9c/assembly.json
20220_3de82b2a,simple_rotor,1,3.0,52.0,24.0,28.0,329.95006825578696,42031.855828762666,0.0,"Steel, Mild",2.1666666666666665,0,104.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20220_3de82b2a/assembly.json
22776_facf9bcf,medium_rotor,17,16.0,593.0,287.0,400.0,1.133859809687112,144.44074008753023,0.0,Steel,2.0662020905923346,0,1280.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22776_facf9bcf/assembly.json
21837_b67d788c,medium_rotor,2,16.0,645.0,259.0,432.0,0.017694865554847748,2.2541230006175477,0.0,Steel,2.4903474903474905,0,1336.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21837_b67d788c/assembly.json
20668_b2f2633e,high_complexity_rotor,3,11.0,2862.0,1326.0,1574.0,0.22000272814973287,28.025825242004192,0.0,Steel,2.158371040723982,0,5762.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20668_b2f2633e/assembly.json
21459_a9de5e5b,simple_rotor,1,4.0,76.0,32.0,50.0,0.0,13.72406088492881,0.0,"Steel, Mild, Acetal Resin, Black, Magnesium",2.375,0,158.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21459_a9de5e5b/assembly.json
21386_e234c6b6,symmetric_rotor,3,7.0,839.0,324.0,572.0,10.533118485391029,1341.7985331708314,0.0,Steel,2.5895061728395063,1,1735.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21386_e234c6b6/assembly.json
22474_b10fea1a,medium_rotor,18,26.0,471.0,313.0,390.0,17.67149771143742,2251.1462052786565,0.0,Steel,1.5047923322683705,0,1174.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22474_b10fea1a/assembly.json
19051_26735260,high_complexity_rotor,14,20.0,3156.0,1263.0,2072.0,7.85613562612075,1004.9864417201959,0.0,"Stainless Steel, 440C, Steel, Mild, Rubber",2.498812351543943,0,6491.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/19051_26735260/assembly.json
20332_0c2a24aa,simple_rotor,3,2.0,42.0,18.0,30.0,0.6733832410354295,85.78130459050058,0.0,"Steel, Mild",2.3333333333333335,0,90.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20332_0c2a24aa/assembly.json
20807_88c198d5,simple_rotor,1,2.0,119.0,42.0,84.0,2.8499240343751713,363.0476476911047,0.0,Steel,2.8333333333333335,1,245.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20807_88c198d5/assembly.json
21825_ce32b0a0,simple_rotor,2,2.0,168.0,62.0,109.0,0.04812374930041037,6.130413923619155,0.0,Steel,2.7096774193548385,1,339.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21825_ce32b0a0/assembly.json
23366_cc0bc28e,medium_rotor,1,2.0,268.0,117.0,167.0,0.8735185367921723,111.27624672511749,0.0,Steel,2.2905982905982905,0,552.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23366_cc0bc28e/assembly.json
22136_a539c50b,simple_rotor,1,3.0,84.0,26.0,62.0,0.00033264363421519277,0.04237498525034303,0.0,Steel,3.230769230769231,1,172.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22136_a539c50b/assembly.json
20414_a33bd0d7,medium_rotor,1,10.0,265.0,134.0,190.0,1.055489072812649,134.45720672772597,0.0,"Steel, Mild",1.9776119402985075,0,589.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20414_a33bd0d7/assembly.json
22196_0deb2e34,medium_rotor,3,3.0,972.0,396.0,638.0,0.07785604118460757,73.44909545717695,0.0,ABS Plastic,2.4545454545454546,0,2006.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22196_0deb2e34/assembly.json
23273_8f301ce3,complex_assembly,23,22.0,4300.0,1558.0,2885.0,8.276125481392897,1183.5460994164237,0.0,"Steel, Bamboo, ABS Plastic",2.7599486521181,1,8743.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23273_8f301ce3/assembly.json
21063_037107dc,high_complexity_rotor,1,220.0,2477.0,1040.0,1449.0,0.14011558294422155,17.849118846397687,0.0,Steel,2.3817307692307694,0,4966.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21063_037107dc/assembly.json
23351_6104d55d,simple_rotor,1,3.0,55.0,26.0,38.0,2.798639212558206,356.5145493704721,0.0,Steel,2.1153846153846154,0,119.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23351_6104d55d/assembly.json
21236_b696e901,complex_assembly,149,161.0,9740.0,3974.0,6733.0,1.7505252510981446,421.31917654214647,0.0,"Copper, Polyurethane Foam, Steel",2.4509310518369403,0,20447.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21236_b696e901/assembly.json
23321_c9497b79,simple_rotor,6,4.0,55.0,50.0,51.0,7.841093828090134,1016.6692229670456,0.0,"Steel, Glass, Cast, Clear",1.1,0,156.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23321_c9497b79/assembly.json
21351_675c66b1,complex_assembly,38,108.0,1519.0,840.0,1027.0,51.90083926247319,7354.476400459955,0.0,"Steel, Plastic",1.8083333333333333,0,3386.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21351_675c66b1/assembly.json
20675_66ac9773,high_complexity_rotor,8,32.0,29792.0,10128.0,19530.0,627.3053685544205,79911.51191776055,0.0,"Steel, Mild, Steel",2.941548183254344,1,59450.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20675_66ac9773/assembly.json
23238_3c864758,medium_rotor,1,6.0,244.0,125.0,163.0,21.438347226872068,2730.999646735295,0.0,Steel,1.952,0,532.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23238_3c864758/assembly.json
20193_2da4f0a0,simple_rotor,3,3.0,68.0,32.0,46.0,2.9143572915165366,371.25570592567345,0.0,"Steel, Mild",2.125,0,146.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20193_2da4f0a0/assembly.json
23473_1dfa6e40,medium_rotor,1,34.0,666.0,300.0,448.0,0.32236139951955256,41.065146435611794,0.0,Steel,2.22,0,1414.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23473_1dfa6e40/assembly.json
21709_4dd88551,high_complexity_rotor,13,16.0,2084.0,735.0,1404.0,5.4933542843715975,1457.045226327639,0.0,"Acetal Resin, White, Steel, ABS Plastic",2.835374149659864,1,4223.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21709_4dd88551/assembly.json
20646_4cd14a72,simple_rotor,6,5.0,168.0,82.0,117.0,0.30297619728362246,38.59569392148057,0.0,Steel,2.048780487804878,0,367.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20646_4cd14a72/assembly.json
21588_0c48dc5f,simple_rotor,5,8.0,188.0,90.0,131.0,2.5246212018838756,321.60779641832806,0.0,Steel,2.088888888888889,0,409.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21588_0c48dc5f/assembly.json
23377_690165aa,high_complexity_rotor,2,35.0,2899.0,1140.0,1952.0,0.07069148187680063,9.00528431551598,0.0,Steel,2.5429824561403507,1,5991.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23377_690165aa/assembly.json
23468_a0bfb573,symmetric_rotor,8,17.0,1282.0,479.0,866.0,0.4752187844623831,60.53742477227811,0.0,Steel,2.6764091858037578,1,2627.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23468_a0bfb573/assembly.json
20468_1c33550a,simple_rotor,1,4.0,123.0,53.0,76.0,0.9617498800915052,122.5159082919115,0.0,"Steel, Mild",2.3207547169811322,0,252.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20468_1c33550a/assembly.json
21176_b5c72bfb,symmetric_rotor,7,7.0,414.0,152.0,276.0,6.458829599617194,11326.167724885852,0.0,Wood,2.723684210526316,1,842.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21176_b5c72bfb/assembly.json
23252_ef165bed,medium_rotor,1,53.0,644.0,338.0,443.0,0.031036444338005068,3.9536871768159316,0.0,Steel,1.9053254437869822,0,1425.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23252_ef165bed/assembly.json
21164_de08f61e,medium_rotor,12,39.0,1251.0,689.0,847.0,3.7082462226144894,200.98401051800826,0.0,"Copper, Titanium, Gold",1.8156748911465892,0,2787.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21164_de08f61e/assembly.json
20789_1809f41f,medium_rotor,8,10.0,424.0,176.0,283.0,159.62700053586425,87444.51662877313,0.0,"Wood, Aluminum",2.409090909090909,0,883.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20789_1809f41f/assembly.json
22197_66c5655e,medium_rotor,3,3.0,837.0,365.0,598.0,0.15537208102261213,102.20188106271361,0.0,"ABS Plastic, Glass, Cast, Clear",2.293150684931507,0,1800.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22197_66c5655e/assembly.json
21352_c1101acb,high_complexity_rotor,5,4.0,1892.0,712.0,1209.0,875.2769490942155,111500.24829225673,0.0,Steel,2.657303370786517,1,3813.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21352_c1101acb/assembly.json
22376_3ebc82a2,medium_rotor,9,40.0,1149.0,514.0,779.0,14.697756774990223,1872.3257038204104,0.0,Steel,2.235408560311284,0,2442.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22376_3ebc82a2/assembly.json
20502_58b65de9,symmetric_rotor,19,18.0,1091.0,435.0,694.0,13.80761742828632,1758.9321564695952,0.0,"Steel, Mild",2.5080459770114945,1,2220.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20502_58b65de9/assembly.json
21153_a2fb81fe,high_complexity_rotor,3,16.0,1634.0,681.0,1145.0,298.48447896882084,38023.50050558228,0.0,Steel,2.3994126284875184,0,3460.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21153_a2fb81fe/assembly.json
20409_dafedec6,simple_rotor,1,1.0,52.0,26.0,28.0,0.2577306786880475,30.35697039906331,0.0,Brass,2.0,0,106.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20409_dafedec6/assembly.json
21492_8bd34fc1,complex_assembly,86,87.0,5389.0,2051.0,3710.0,12.022523230745945,1805.6258068030102,0.0,"Steel, Wood",2.627498781082399,1,11150.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21492_8bd34fc1/assembly.json
20622_38dd90d0,high_complexity_rotor,5,43.0,1797.0,885.0,1292.0,2.3679177396010425,301.6455719236995,0.0,"Steel, Mild",2.0305084745762714,0,3974.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20622_38dd90d0/assembly.json
22428_c1ffa51a,high_complexity_rotor,2,57.0,4909.0,1899.0,3156.0,0.9155790701961481,116.63427645810808,0.0,Steel,2.5850447604002107,1,9964.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22428_c1ffa51a/assembly.json
21047_60d69af3,simple_rotor,1,2.0,88.0,43.0,60.0,0.02429720199078107,3.0951849669784806,0.0,Steel,2.046511627906977,0,191.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21047_60d69af3/assembly.json
23215_08a54de0,simple_rotor,3,5.0,93.0,41.0,62.0,75.90801228801443,9669.81048254961,0.0,Steel,2.268292682926829,0,196.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23215_08a54de0/assembly.json
20680_b095cb77,symmetric_rotor,1,1.0,1191.0,429.0,763.0,0.025349491500545298,23.91461462315594,0.0,ABS Plastic,2.7762237762237763,1,2383.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20680_b095cb77/assembly.json
23130_7417d5b3,high_complexity_rotor,1,18.0,1639.0,661.0,1184.0,196.0331344651597,27395.01931563561,0.0,"Titanium, Steel",2.479576399394856,0,3484.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23130_7417d5b3/assembly.json
22193_c8773ded,high_complexity_rotor,1,52.0,2672.0,1179.0,1775.0,8.099622551510908,1031.7990511478856,0.0,Steel,2.2663273960983883,0,5626.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22193_c8773ded/assembly.json
20735_fb18051a,medium_rotor,1,37.0,972.0,546.0,679.0,2.382297433126372,303.4773800160983,0.0,Steel,1.7802197802197801,0,2197.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20735_fb18051a/assembly.json
20989_885bd9b9,simple_rotor,2,1.0,136.0,50.0,95.0,0.007903870730397035,1.006862513426374,0.0,"Steel, Mild",2.72,1,281.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20989_885bd9b9/assembly.json
20927_826f4b56,simple_rotor,1,1.0,12.0,6.0,8.0,1.6844135586020348e-06,0.00021457497561809362,0.0,Steel,2.0,0,26.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20927_826f4b56/assembly.json
21719_d60b8a4a,medium_rotor,2,12.0,970.0,429.0,562.0,0.2810514772330804,35.80273595325865,0.0,Steel,2.261072261072261,0,1961.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21719_d60b8a4a/assembly.json
21776_fb0bfbc6,simple_rotor,2,1.0,202.0,82.0,122.0,0.22063707998456455,28.10663439293816,0.0,Steel,2.4634146341463414,0,406.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21776_fb0bfbc6/assembly.json
23372_4cb88567,medium_rotor,11,10.0,329.0,154.0,223.0,80.65828495309415,10274.940758355946,0.0,Steel,2.1363636363636362,0,706.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23372_4cb88567/assembly.json
22895_4533b542,simple_rotor,1,6.0,216.0,96.0,140.0,0.0552832011388471,7.042446004948675,0.0,Steel,2.25,0,452.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22895_4533b542/assembly.json
20870_dedaef5b,high_complexity_rotor,2,25.0,10245.0,4425.0,6472.0,0.612656149942258,78.04536941939591,0.0,Steel,2.3152542372881357,0,21142.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20870_dedaef5b/assembly.json
22399_97987ada,symmetric_rotor,3,6.0,1335.0,489.0,891.0,0.12198941689789666,100.30548479622198,0.0,"Nylon 6/6, Steel",2.7300613496932513,1,2715.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22399_97987ada/assembly.json
20376_eefa9511,simple_rotor,1,2.0,24.0,12.0,16.0,0.09315326333521987,11.866657749709537,0.0,"Steel, Mild",2.0,0,52.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20376_eefa9511/assembly.json
22180_ce7c3bd8,simple_rotor,5,4.0,35.0,24.0,23.0,2.74868565377696,350.151038697702,0.0,Steel,1.4583333333333333,0,82.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22180_ce7c3bd8/assembly.json
20421_49bd1188,medium_rotor,4,5.0,799.0,327.0,529.0,6.444060365257177,6444.060365257178,0.0,Generic,2.4434250764525993,0,1655.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20421_49bd1188/assembly.json
20530_2246503a,medium_rotor,1,8.0,446.0,286.0,304.0,0.8380039541480461,106.7520960698148,0.0,Steel,1.5594405594405594,0,1036.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20530_2246503a/assembly.json
20815_b3d9e6c9,medium_rotor,1,19.0,267.0,150.0,175.0,7.436952966387593,947.3825434888656,0.0,Steel,1.78,0,592.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20815_b3d9e6c9/assembly.json
21809_8bd6b10e,high_complexity_rotor,14,11.0,2773.0,1176.0,1697.0,0.888883549428679,113.23357317562791,0.0,Steel,2.3579931972789114,0,5646.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21809_8bd6b10e/assembly.json
22210_649a5363,simple_rotor,1,2.0,41.0,37.0,36.0,5.659038475752863,720.8966211150145,0.0,Steel,1.1081081081081081,0,114.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22210_649a5363/assembly.json
23195_2629864e,complex_assembly,38,59.0,4057.0,1775.0,2737.0,80.78124172367416,10290.604041232375,0.0,Steel,2.285633802816901,0,8569.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23195_2629864e/assembly.json
22827_f33929ec,high_complexity_rotor,3,55.0,2201.0,1081.0,1522.0,1.3758134215478794,175.26285624813752,0.0,Steel,2.036077705827937,0,4804.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22827_f33929ec/assembly.json
20745_3e22ad07,high_complexity_rotor,1,36.0,11012.0,3496.0,7303.0,2.2069083524550757,281.13482196879943,0.0,"Steel, Mild",3.1498855835240276,1,21811.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20745_3e22ad07/assembly.json
21779_b99623fc,medium_rotor,1,10.0,780.0,363.0,468.0,0.06255853374524098,11.218002749951419,0.0,"Titanium, Steel",2.1487603305785123,0,1611.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21779_b99623fc/assembly.json
20212_5d1f2de1,simple_rotor,1,4.0,151.0,64.0,106.0,0.0342683543051454,8.86849257185893,0.0,"Steel, Mild, Acetal Resin, Black, Brass",2.359375,0,321.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20212_5d1f2de1/assembly.json
21550_0b16151d,medium_rotor,1,15.0,833.0,382.0,522.0,0.061302908927595955,7.809287761477193,0.0,Steel,2.180628272251309,0,1737.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21550_0b16151d/assembly.json
23209_1592b0a4,simple_rotor,11,13.0,126.0,85.0,102.0,0.2253811557020487,395.2271413271791,0.0,Wood,1.4823529411764707,0,313.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23209_1592b0a4/assembly.json
22498_b8bdb105,simple_rotor,1,2.0,16.0,18.0,16.0,0.010071489652536084,9.50140533258121,0.0,ABS Plastic,0.8888888888888888,0,50.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22498_b8bdb105/assembly.json
23380_abffc859,medium_rotor,1,79.0,1221.0,675.0,945.0,13.909122377250148,1771.8627232165798,0.0,Steel,1.808888888888889,0,2841.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23380_abffc859/assembly.json
20389_c835706f,medium_rotor,1,38.0,993.0,509.0,659.0,4.700816513665376,4700.816513665375,0.0,Generic,1.9508840864440078,0,2161.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20389_c835706f/assembly.json
21429_6d2d3974,medium_rotor,3,57.0,767.0,446.0,563.0,286.6812744885461,37428.77403471894,0.0,"Steel, Rubber, Natural",1.7197309417040358,0,1776.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21429_6d2d3974/assembly.json
21843_effbd24d,high_complexity_rotor,2,6.0,1650.0,622.0,1081.0,0.1703483548608055,21.700427370803247,0.0,Steel,2.652733118971061,1,3353.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21843_effbd24d/assembly.json
23439_18900af2,simple_rotor,1,8.0,93.0,43.0,62.0,3.179617093078604,405.0467634495037,0.0,Steel,2.1627906976744184,0,198.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23439_18900af2/assembly.json
21737_87d83240,medium_rotor,7,7.0,279.0,133.0,188.0,2.2409691115672867,285.47377217417664,0.0,Steel,2.0977443609022557,0,600.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21737_87d83240/assembly.json
21496_f4025ad5,medium_rotor,1,5.0,392.0,174.0,208.0,18748.36109681067,2388326.2543707862,0.0,Steel,2.2528735632183907,0,774.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21496_f4025ad5/assembly.json
22053_de30641b,simple_rotor,10,6.0,60.0,40.0,46.0,11.996276542058093,1528.1880945296932,0.0,Steel,1.5,0,146.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22053_de30641b/assembly.json
22891_b8c84495,simple_rotor,1,3.0,222.0,99.0,143.0,0.013844452363851817,1.7636245049492763,0.0,Steel,2.242424242424242,0,464.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22891_b8c84495/assembly.json
21390_4d1e2d9c,medium_rotor,1,9.0,916.0,386.0,610.0,0.002287345602968609,0.2913816054737082,0.0,Steel,2.373056994818653,0,1912.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21390_4d1e2d9c/assembly.json
22378_234fea2c,simple_rotor,4,7.0,80.0,56.0,66.0,0.016371249402132047,2.0855094779786048,0.0,Steel,1.4285714285714286,0,202.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22378_234fea2c/assembly.json
22659_0e686e14,symmetric_rotor,1,5.0,889.0,349.0,586.0,0.11896844617953133,15.155216073825645,0.0,Steel,2.5472779369627507,1,1824.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22659_0e686e14/assembly.json
22304_33009be6,simple_rotor,1,13.0,141.0,50.0,102.0,0.0,0.0,0.0,Steel,2.82,1,293.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22304_33009be6/assembly.json
20765_99d0665e,high_complexity_rotor,1,70.0,2228.0,1002.0,1502.0,5183.989443335028,660380.8208070097,0.0,Steel,2.223552894211577,0,4732.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20765_99d0665e/assembly.json
